#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,98.7221247807344,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,98.17088449014557,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,98.69706840386318,usage_idle,cpu,cpu-total,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_iowait,cpu,cpu-total,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_iowait,cpu,cpu-total,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_iowait,cpu,cpu-total,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_irq,cpu,cpu-total,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_irq,cpu,cpu-total,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_irq,cpu,cpu-total,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_nice,cpu,cpu-total,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_nice,cpu,cpu-total,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_nice,cpu,cpu-total,cloud0lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0.025056376847294823,usage_softirq,cpu,cpu-total,cloud0lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0.025056376848507343,usage_softirq,cpu,cpu-total,cloud0lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0.05011275369572908,usage_softirq,cpu,cpu-total,cloud0lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0.22550739163135056,usage_steal,cpu,cpu-total,cloud0lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0.22550739163200836,usage_steal,cpu,cpu-total,cloud0lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0.12528188423875297,usage_steal,cpu,cpu-total,cloud0lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0.526183913805725,usage_system,cpu,cpu-total,cloud0lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0.8519168128310187,usage_system,cpu,cpu-total,cloud0lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0.526183913805725,usage_system,cpu,cpu-total,cloud0lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0.5011275369595697,usage_user,cpu,cpu-total,cloud0lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0.7266349285839243,usage_user,cpu,cpu-total,cloud0lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0.6013530443533067,usage_user,cpu,cpu-total,cloud0lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_guest,cpu,cpu-total,cloud10lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_guest,cpu,cpu-total,cloud10lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_guest,cpu,cpu-total,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_guest_nice,cpu,cpu-total,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_guest_nice,cpu,cpu-total,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_guest_nice,cpu,cpu-total,cloud10lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,98.67267718500561,usage_idle,cpu,cpu-total,cloud10lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,98.62362362379714,usage_idle,cpu,cpu-total,cloud10lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,99.02206619827182,usage_idle,cpu,cpu-total,cloud10lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_iowait,cpu,cpu-total,cloud10lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_iowait,cpu,cpu-total,cloud10lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_iowait,cpu,cpu-total,cloud10lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_irq,cpu,cpu-total,cloud10lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_irq,cpu,cpu-total,cloud10lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_irq,cpu,cpu-total,cloud10lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:20Z,0,usage_nice,cpu,cpu-total,cloud10lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:30Z,0,usage_nice,cpu,cpu-total,cloud10lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.551857886Z,2024-06-12T22:29:40Z,0,usage_nice,cpu,cpu-total,cloud10lennart
