#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32838455296,available,mem,cloud0lennart
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32838615040,available,mem,cloud0lennart
,,0,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32838840320,available,mem,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,117125120,buffered,mem,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,117125120,buffered,mem,cloud0lennart
,,1,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,117125120,buffered,mem,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,29845135360,free,mem,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,29845295104,free,mem,cloud0lennart
,,2,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,29845520384,free,mem,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,1400832,shared,mem,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,1400832,shared,mem,cloud0lennart
,,3,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,1400832,shared,mem,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,33660653568,total,mem,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,33660653568,total,mem,cloud0lennart
,,4,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,33660653568,total,mem,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,347201536,used,mem,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,347041792,used,mem,cloud0lennart
,,5,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,346816512,used,mem,cloud0lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32891600896,available,mem,cloud10lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32891535360,available,mem,cloud10lennart
,,6,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32890986496,available,mem,cloud10lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,70836224,buffered,mem,cloud10lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,70836224,buffered,mem,cloud10lennart
,,7,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,70836224,buffered,mem,cloud10lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32357158912,free,mem,cloud10lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32357093376,free,mem,cloud10lennart
,,8,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32356544512,free,mem,cloud10lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,1400832,shared,mem,cloud10lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,1400832,shared,mem,cloud10lennart
,,9,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,1400832,shared,mem,cloud10lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,33660653568,total,mem,cloud10lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,33660653568,total,mem,cloud10lennart
,,10,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,33660653568,total,mem,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,338731008,used,mem,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,338796544,used,mem,cloud10lennart
,,11,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,339345408,used,mem,cloud10lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32887750656,available,mem,cloud11lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32887394304,available,mem,cloud11lennart
,,12,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32887361536,available,mem,cloud11lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,72904704,buffered,mem,cloud11lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,72904704,buffered,mem,cloud11lennart
,,13,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,72904704,buffered,mem,cloud11lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32343601152,free,mem,cloud11lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32343244800,free,mem,cloud11lennart
,,14,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32343212032,free,mem,cloud11lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,1400832,shared,mem,cloud11lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,1400832,shared,mem,cloud11lennart
,,15,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,1400832,shared,mem,cloud11lennart
,,16,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,33660653568,total,mem,cloud11lennart
,,16,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,33660653568,total,mem,cloud11lennart
,,16,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,33660653568,total,mem,cloud11lennart
,,17,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,343404544,used,mem,cloud11lennart
,,17,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,343760896,used,mem,cloud11lennart
,,17,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,343793664,used,mem,cloud11lennart
,,18,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32881369088,available,mem,cloud1lennart
,,18,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,32881627136,available,mem,cloud1lennart
,,18,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,32881344512,available,mem,cloud1lennart
,,19,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,70975488,buffered,mem,cloud1lennart
,,19,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:30Z,70975488,buffered,mem,cloud1lennart
,,19,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:40Z,70983680,buffered,mem,cloud1lennart
,,20,2024-06-12T22:29:18Z,2024-06-12T22:29:48.606086529Z,2024-06-12T22:29:20Z,32307335168,free,mem,cloud1lennart
