#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:18:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:18:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:18:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:18:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:18:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:19:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:20:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:20:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:20:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T09:18:06Z,2024-06-07T09:23:45.7235753Z,2024-06-07T09:20:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
