#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:32:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,1,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:32:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,2,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:20Z,98.77100576862745,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-07T11:31:11Z,2024-06-07T11:32:09.577087768Z,2024-06-07T11:31:30Z,94.40715883668645,usage_idle,cpu,cpu-total,cloud0lennart
