#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:40:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:41:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:42:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:43:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:43:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:43:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:43:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:35:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:36:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:37:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:38:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-09T09:34:54Z,2024-06-09T09:43:45.488975292Z,2024-06-09T09:39:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
