#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:00Z,32859475968,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:10Z,32851607552,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:20Z,32281350144,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:30Z,32191537152,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:40Z,32106422272,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:35:50Z,32101392384,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:00Z,32038985728,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:10Z,31620837376,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:20Z,31439601664,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:30Z,31237013504,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:40Z,30638395392,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:36:50Z,30623850496,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:00Z,30623596544,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:10Z,30624083968,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:20Z,30624690176,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:30Z,30609596416,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:40Z,30201987072,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:37:50Z,30182010880,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:00Z,30181978112,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:10Z,30181470208,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:20Z,30181212160,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:30Z,30180995072,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:40Z,30185185280,available,mem,cloud0lennart
,,0,2024-06-09T09:34:54Z,2024-06-09T09:43:45.581744975Z,2024-06-09T09:38:50Z,30205886464,available,mem,cloud0lennart
