#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:00Z,25506574336,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:10Z,25506299904,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:20Z,25081466880,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:30Z,24721887232,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:40Z,24645554176,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:44:50Z,24522731520,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:00Z,24232566784,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:10Z,24126562304,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:20Z,24138915840,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:30Z,24138637312,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:40Z,24019206144,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:45:50Z,23994535936,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:00Z,23909310464,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:10Z,23915196416,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:20Z,23880396800,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:30Z,23866343424,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:40Z,23868620800,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:46:50Z,23093137408,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:00Z,23076560896,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:10Z,23067496448,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:20Z,23067201536,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:30Z,23066685440,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:40Z,23060676608,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:47:50Z,23054946304,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:00Z,23055474688,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:10Z,23057711104,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:20Z,23053045760,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:30Z,25505038336,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:40Z,25505280000,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:48:50Z,25505546240,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:00Z,25504731136,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:10Z,25505488896,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:20Z,25505529856,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:30Z,25505861632,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:40Z,25506029568,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:49:50Z,25505746944,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:00Z,25505480704,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:10Z,25505656832,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:20Z,25506213888,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:30Z,25505931264,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:40Z,25506140160,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:50:50Z,25506189312,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:00Z,25506414592,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:10Z,25506131968,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:20Z,25505898496,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:30Z,25506107392,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:40Z,25506381824,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:51:50Z,25506414592,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:00Z,25506439168,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:10Z,25506721792,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:20Z,25506705408,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:30Z,25506623488,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:40Z,25507213312,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:52:50Z,25506930688,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:00Z,25506881536,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:10Z,25506897920,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:20Z,25507115008,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:30Z,25506885632,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:40Z,25506869248,available,mem,cloud0lennart
,,0,2024-06-07T16:43:56Z,2024-06-07T16:54:34.0146647Z,2024-06-07T16:53:50Z,25506578432,available,mem,cloud0lennart
