#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:54:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:54:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:54:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:54:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:55:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:56:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:57:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:58:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T02:59:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:00:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:01:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:02:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:03:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:03:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:03:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:03:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-12T02:54:13Z,2024-06-12T03:27:52.434378496Z,2024-06-12T03:03:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
