#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:20:10Z,32843059200,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:20:20Z,32760541184,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:20:30Z,32165105664,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:20:40Z,32007589888,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:20:50Z,32003207168,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:00Z,31938994176,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:10Z,31521611776,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:20Z,31389970432,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:30Z,31374987264,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:40Z,31254200320,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:21:50Z,31124598784,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:00Z,31111290880,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:10Z,31097966592,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:20Z,31078039552,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:30Z,31068536832,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:40Z,31011213312,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:22:50Z,31022051328,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:00Z,30991425536,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:10Z,30991335424,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:20Z,30989840384,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:30Z,30984777728,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:40Z,30988464128,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:23:50Z,30988554240,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:24:00Z,30990069760,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:24:10Z,30990487552,available,mem,cloud0lennart
,,0,2024-06-12T02:20:02Z,2024-06-12T02:54:21.663582093Z,2024-06-12T02:24:20Z,30991552512,available,mem,cloud0lennart
