#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:40:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,1,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:40:50Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,2,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:40:50Z,98.6733416770249,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:00Z,97.4667669927101,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:10Z,48.157432940335816,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-13T21:40:45Z,2024-06-13T21:41:37.513240128Z,2024-06-13T21:41:20Z,91.34904714151679,usage_idle,cpu,cpu-total,cloud0lennart
