#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:51:30Z,32817061888,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:51:40Z,32728461312,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:51:50Z,32238485504,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:00Z,32110247936,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:10Z,32104280064,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:20Z,31861198848,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:30Z,31679594496,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:40Z,31592599552,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:52:50Z,31341510656,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:00Z,31193546752,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:10Z,31180181504,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:20Z,31180337152,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:30Z,31178502144,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:40Z,31172833280,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:53:50Z,31165865984,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:00Z,31194849280,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:10Z,31175700480,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:20Z,31174795264,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:30Z,31174250496,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:40Z,31175639040,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:54:50Z,31175868416,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:00Z,31176097792,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:10Z,31189626880,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:20Z,31129153536,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:30Z,31117692928,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:40Z,31116996608,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:55:50Z,31112376320,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:00Z,31111831552,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:10Z,31110619136,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:20Z,30594580480,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:30Z,30570885120,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:40Z,30568456192,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:56:50Z,30568656896,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:00Z,30568148992,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:10Z,30568148992,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:20Z,30570471424,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:30Z,30588854272,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:40Z,30589886464,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:57:50Z,30589661184,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:00Z,30589628416,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:10Z,30590156800,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:20Z,30563041280,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:30Z,30547410944,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:40Z,30533197824,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:58:50Z,30485475328,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:00Z,30484664320,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:10Z,30454841344,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:20Z,30431154176,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:30Z,30419894272,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:40Z,30421766144,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T22:59:50Z,30423863296,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:00Z,30423396352,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:10Z,30423625728,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:20Z,30437306368,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:30Z,30437441536,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:40Z,30437908480,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:00:50Z,30437941248,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:00Z,30438166528,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:10Z,30438133760,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:20Z,30354907136,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:30Z,30341910528,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:40Z,30341451776,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:01:50Z,30341099520,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:02:00Z,30340927488,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:02:10Z,30267531264,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:02:20Z,29994270720,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:02:30Z,29986516992,available,mem,cloud0lennart
,,0,2024-06-13T22:51:22Z,2024-06-13T23:05:43.296447001Z,2024-06-13T23:02:40Z,29986209792,available,mem,cloud0lennart
