#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-14T23:59:50Z,32862539776,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:00Z,32862515200,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:10Z,32517398528,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:20Z,32158478336,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:30Z,32036093952,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:40Z,32036110336,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:00:50Z,31563005952,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:00Z,31477686272,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:10Z,31156154368,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:20Z,31169269760,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:30Z,31132266496,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:40Z,30973632512,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:01:50Z,30922579968,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:02:00Z,30930796544,available,mem,cloud0lennart
,,0,2024-06-14T23:59:48Z,2024-06-15T00:34:22.482234139Z,2024-06-15T00:02:10Z,30928687104,available,mem,cloud0lennart
