#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:23:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:24:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:25:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:26:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:27:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:28:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:29:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:30:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:31:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:32:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:33:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:34:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:35:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:35:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:35:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:23:46Z,2024-06-15T06:58:00.847573534Z,2024-06-15T06:35:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
