#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:28:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:29:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:30:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:30:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:30:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:30:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-13T10:28:47Z,2024-06-13T10:40:53.273857224Z,2024-06-13T10:30:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
