#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:07:40Z,32817299456,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:07:50Z,32801087488,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:00Z,32208642048,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:10Z,32042467328,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:20Z,32002183168,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:30Z,31777579008,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:40Z,30974091264,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:08:50Z,30869397504,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:00Z,30479220736,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:10Z,29999312896,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:20Z,29926629376,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:30Z,29754789888,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:40Z,28621684736,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:09:50Z,28578103296,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:00Z,28499857408,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:10Z,28459741184,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:20Z,28443041792,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:30Z,28444209152,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:40Z,28444160000,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:10:50Z,28445466624,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:00Z,28447600640,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:10Z,28447830016,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:20Z,28457263104,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:30Z,28460355584,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:40Z,28428378112,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:11:50Z,28421967872,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:00Z,28418347008,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:10Z,28417335296,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:20Z,28414701568,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:30Z,28414935040,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:40Z,28415766528,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:12:50Z,28416008192,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:00Z,28421812224,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:10Z,28422328320,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:20Z,28423102464,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:30Z,28422066176,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:40Z,28389474304,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:13:50Z,28386119680,available,mem,cloud0lennart
,,0,2024-06-13T22:07:33Z,2024-06-13T22:21:53.389647776Z,2024-06-13T22:14:00Z,28312133632,available,mem,cloud0lennart
