#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T22:59:50Z,32791306240,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:00Z,32789397504,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:10Z,32759402496,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:20Z,32191459328,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:30Z,32076345344,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:40Z,32074768384,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:00:50Z,32073703424,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:00Z,31646228480,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:10Z,31494344704,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:20Z,31479947264,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:30Z,31251976192,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:40Z,31226212352,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:01:50Z,31185260544,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:00Z,31017689088,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:10Z,31004766208,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:20Z,30981242880,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:30Z,30974881792,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:40Z,30974697472,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:02:50Z,30973190144,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:00Z,30953181184,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:10Z,30536093696,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:20Z,30527369216,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:30Z,30205886464,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:40Z,30146297856,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:03:50Z,29888798720,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:00Z,29873348608,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:10Z,29869957120,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:20Z,29827780608,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:30Z,29742067712,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:40Z,29745057792,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:04:50Z,29743472640,available,mem,cloud0lennart
,,0,2024-06-11T22:59:49Z,2024-06-11T23:12:23.452252454Z,2024-06-11T23:05:00Z,29727416320,available,mem,cloud0lennart
