#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:58:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T06:59:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T07:00:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T07:00:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T07:00:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T06:57:52Z,2024-06-15T07:33:55.751452751Z,2024-06-15T07:00:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
