#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:33:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:34:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:35:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:36:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:37:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:38:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:39:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:40:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:41:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.020643401Z,2024-06-15T07:42:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
