#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:33:50Z,32831033344,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:00Z,32830492672,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:10Z,32459083776,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:20Z,32232652800,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:30Z,32077017088,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:40Z,32075218944,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:34:50Z,31716143104,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:00Z,31632814080,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:10Z,31385628672,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:20Z,31348121600,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:30Z,31307755520,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:40Z,31203774464,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:35:50Z,31060811776,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:00Z,30858805248,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:10Z,30701289472,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:20Z,30652469248,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:30Z,30641942528,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:40Z,30639362048,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:36:50Z,30639525888,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:00Z,30639128576,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:10Z,30627762176,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:20Z,30492880896,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:30Z,30160965632,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:40Z,30148673536,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:37:50Z,30138241024,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:00Z,29837594624,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:10Z,29774602240,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:20Z,29771247616,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:30Z,29283590144,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:40Z,29232066560,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:38:50Z,29213102080,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:00Z,29213904896,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:10Z,29210423296,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:20Z,29208834048,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:30Z,29206601728,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:40Z,29205651456,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:39:50Z,29205594112,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:00Z,29205577728,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:10Z,29206659072,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:20Z,29208125440,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:30Z,29215420416,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:40Z,29221302272,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:40:50Z,29230493696,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:00Z,29230235648,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:10Z,29230727168,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:20Z,29230710784,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:30Z,29230411776,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:40Z,29230882816,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:41:50Z,29230764032,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:00Z,29230731264,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:10Z,29230989312,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:20Z,29230456832,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:30Z,29230456832,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:40Z,29230956544,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:42:50Z,29230923776,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:00Z,29230923776,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:10Z,29231304704,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:20Z,29231353856,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:30Z,29231620096,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:40Z,29231353856,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:43:50Z,29202980864,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:00Z,29201002496,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:10Z,29173473280,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:20Z,29172264960,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:30Z,29169905664,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:40Z,29170171904,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:44:50Z,29171113984,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:00Z,29172305920,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:10Z,29177065472,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:20Z,29177073664,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:30Z,29192019968,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:40Z,29192318976,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:45:50Z,29192318976,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:46:00Z,29192044544,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:46:10Z,29192384512,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:46:20Z,29192474624,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:46:30Z,29192466432,available,mem,cloud0lennart
,,0,2024-06-15T07:33:47Z,2024-06-15T08:07:23.161212212Z,2024-06-15T07:46:40Z,29192749056,available,mem,cloud0lennart
