#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:45:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:45:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:45:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:46:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:47:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:48:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:49:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T01:45:25Z,2024-06-15T02:28:31.439213174Z,2024-06-15T01:49:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
