#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:45:10Z,32811585536,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:45:20Z,32810913792,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:45:30Z,32515452928,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:45:40Z,32176234496,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:45:50Z,32032030720,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:00Z,32033091584,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:10Z,31727386624,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:20Z,31692353536,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:30Z,31557578752,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:40Z,31558230016,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:46:50Z,31528525824,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:00Z,31328747520,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:10Z,31329206272,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:20Z,31328882688,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:30Z,31319142400,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:40Z,31316938752,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:47:50Z,31302320128,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:48:00Z,31288561664,available,mem,cloud0lennart
,,0,2024-06-14T06:45:08Z,2024-06-14T07:39:43.801299345Z,2024-06-14T06:48:10Z,31300218880,available,mem,cloud0lennart
