#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:46:30Z,32828289024,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:46:40Z,32776024064,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:46:50Z,32191733760,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:00Z,32039542784,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:10Z,31976894464,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:20Z,31773757440,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:30Z,31562756096,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:40Z,31432585216,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:47:50Z,31391330304,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:00Z,31382290432,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:10Z,31165161472,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:20Z,31155687424,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:30Z,31151722496,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:40Z,31146217472,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:48:50Z,31129440256,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:00Z,30703296512,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:10Z,30702649344,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:20Z,30703099904,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:30Z,30687948800,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:40Z,30671552512,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:49:50Z,30669942784,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:00Z,30677340160,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:10Z,30677598208,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:20Z,30649712640,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:30Z,30628687872,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:40Z,30583074816,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:50:50Z,30579101696,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:00Z,30574170112,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:10Z,30561058816,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:20Z,30558875648,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:30Z,30555119616,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:40Z,30276775936,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:51:50Z,30276833280,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:00Z,30262575104,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:10Z,30253469696,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:20Z,30233485312,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:30Z,30231330816,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:40Z,30212890624,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:52:50Z,30212186112,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:53:00Z,30213296128,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:53:10Z,30214586368,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:53:20Z,30215639040,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:53:30Z,30218809344,available,mem,cloud0lennart
,,0,2024-06-15T08:46:22Z,2024-06-15T09:21:01.259759398Z,2024-06-15T08:53:40Z,30220152832,available,mem,cloud0lennart
