#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:09:50Z,32856854528,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:00Z,32856154112,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:10Z,32525389824,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:20Z,32267116544,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:30Z,32133754880,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:40Z,32132407296,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:10:50Z,32131891200,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:00Z,32130121728,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:10Z,31888871424,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:20Z,31736614912,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:30Z,31557718016,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:40Z,31522369536,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:11:50Z,31516352512,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:00Z,31515164672,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:10Z,31482015744,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:20Z,31419699200,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:30Z,31387402240,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:40Z,31386800128,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:12:50Z,31380434944,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:00Z,31315116032,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:10Z,31039553536,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:20Z,31038328832,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:30Z,31037186048,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:40Z,30969950208,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:13:50Z,30937628672,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:00Z,30935523328,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:10Z,30846447616,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:20Z,30585618432,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:30Z,30583664640,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:40Z,30562926592,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:14:50Z,30489133056,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:15:00Z,30487711744,available,mem,cloud0lennart
,,0,2024-06-09T12:09:48Z,2024-06-09T12:37:21.620745277Z,2024-06-09T12:15:10Z,30489026560,available,mem,cloud0lennart
