#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:21:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:22:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:23:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:24:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:25:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:26:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:27:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:28:50Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.722643459Z,2024-06-15T09:29:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
