#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:00Z,32826699776,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:10Z,32797286400,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:20Z,32197812224,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:30Z,32120479744,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:40Z,32079392768,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:21:50Z,31904686080,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:00Z,31560982528,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:10Z,31496585216,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:20Z,31246798848,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:30Z,31158116352,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:40Z,31133560832,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:22:50Z,31074578432,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:00Z,31069794304,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:10Z,31063625728,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:20Z,30643462144,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:30Z,30602207232,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:40Z,30590742528,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:23:50Z,30590148608,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:00Z,30589591552,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:10Z,30588841984,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:20Z,30587793408,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:30Z,30582976512,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:40Z,30361812992,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:24:50Z,29324537856,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:00Z,29317386240,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:10Z,29306486784,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:20Z,29296193536,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:30Z,29292724224,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:40Z,29138653184,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:25:50Z,29049122816,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:00Z,29037654016,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:10Z,28793602048,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:20Z,28695158784,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:30Z,28690935808,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:40Z,28694888448,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:26:50Z,28690276352,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:00Z,28705353728,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:10Z,28706676736,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:20Z,28675809280,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:30Z,28708065280,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:40Z,28680531968,available,mem,cloud0lennart
,,0,2024-06-15T09:20:53Z,2024-06-15T10:00:16.876132046Z,2024-06-15T09:27:50Z,28680376320,available,mem,cloud0lennart
