#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:14:10Z,25506164736,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:14:20Z,25506746368,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:14:30Z,25506746368,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:14:40Z,25506463744,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:14:50Z,25506713600,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:00Z,25506455552,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:10Z,25506398208,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:20Z,25506697216,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:30Z,25506697216,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:40Z,24961495040,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:15:50Z,24809619456,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:00Z,24806420480,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:10Z,24790134784,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:20Z,24250105856,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:30Z,23458144256,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:40Z,22646964224,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:16:50Z,19563614208,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:00Z,25487990784,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:10Z,25503211520,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:20Z,25498992640,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:30Z,25506041856,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:40Z,24266088448,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:17:50Z,23970340864,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:00Z,23076585472,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:10Z,21687783424,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:20Z,19931373568,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:30Z,19729997824,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:40Z,17745940480,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:18:50Z,17293660160,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:00Z,16260378624,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:10Z,14000406528,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:20Z,25504251904,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:30Z,25503961088,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:40Z,25504268288,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:19:50Z,25504235520,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:00Z,25504239616,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:10Z,25504722944,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:20Z,25504722944,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:30Z,25504464896,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:40Z,25504727040,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:20:50Z,25504694272,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:00Z,25504919552,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:10Z,25505468416,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:20Z,25504911360,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:30Z,25504878592,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:40Z,25504845824,available,mem,cloud0lennart
,,0,2024-06-08T10:14:01.894066601Z,2024-06-08T10:24:01.894066601Z,2024-06-08T10:21:50Z,25504845824,available,mem,cloud0lennart
