#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:00Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:10Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:20Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:30Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,0,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:40Z,0,usage_guest,cpu,cpu-total,cloud0lennart
,,1,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:00Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:10Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:20Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:30Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,1,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:40Z,0,usage_guest_nice,cpu,cpu-total,cloud0lennart
,,2,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:00Z,97.52168525402729,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:10Z,97.50061865874729,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:20Z,97.1974206349226,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:30Z,97.55253399258402,usage_idle,cpu,cpu-total,cloud0lennart
,,2,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:40Z,97.83204585098227,usage_idle,cpu,cpu-total,cloud0lennart
,,3,2024-06-08T14:22:52.53223776Z,2024-06-08T14:23:52.53223776Z,2024-06-08T14:23:00Z,0.024783147459726634,usage_iowait,cpu,cpu-total,cloud0lennart
