app,start,query,range,delay,duration
1,40000,q12,d_year = 2000 and d_moy between 1 and 10,42,56999
1,45000,q10,d_year = 2000 and d_moy between 1 and 2,59,77670
1,50000,q7,d_year = 2000 and d_moy between 1 and 11,71,54382
1,55000,q1,d_year = 2000 and d_moy between 1 and 4,83,73925
1,60000,q10,d_year = 2000 and d_moy between 1 and 2,23,35636
1,130000,q1,d_year = 2000 and d_moy between 1 and 6,12,42886
1,135000,q10,d_year = 2000 and d_moy = 1,21,37467
1,140000,q1,d_year = 2000 and d_moy between 1 and 4,29,32696
1,145000,q12,d_year = 2000 and d_moy between 1 and 9,50,26187
1,150000,q1,d_year = 2000 and d_moy between 1 and 5,72,13691
1,220000,q12,d_year = 2000 and d_moy between 1 and 10,54,14834
1,225000,q12,d_year = 2000 and d_moy between 1 and 8,3,15557
1,230000,q1,d_year = 2000 and d_moy between 1 and 4,27,28452
1,235000,q1,d_year = 2000 and d_moy between 1 and 5,38,24836
1,240000,q12,d_year = 2000 and d_moy between 1 and 8,2,17048
1,310000,q1,d_year = 2000 and d_moy between 1 and 5,7,41385
1,315000,q13,d_year = 2000 and d_moy between 1 and 8,52,34929
1,320000,q12,d_year = 2000 and d_moy between 1 and 10,67,30451
1,325000,q12,d_year = 2000 and d_moy between 1 and 8,77,25547
1,330000,q10,d_year = 2000 and d_moy between 1 and 2,85,17325
1,400000,q12,d_year = 2000 and d_moy between 1 and 10,83,20843
1,405000,q12,d_year = 2000 and d_moy between 1 and 10,12,50510
1,410000,q10,d_year = 2000 and d_moy between 1 and 2,28,46422
1,415000,q7,d_year = 2000 and d_moy between 1 and 11,42,41544
1,420000,q12,d_year = 2000 and d_moy between 1 and 9,84,38520
1,490000,q12,d_year = 2000 and d_moy between 1 and 9,49,30949
1,495000,q7,d_year = 2000,60,26759
1,500000,q12,d_year = 2000 and d_moy between 1 and 10,74,51901
1,505000,q12,d_year = 2000 and d_moy between 1 and 8,89,45923
1,510000,q7,d_year = 2000 and d_moy between 1 and 11,3,31493
1,580000,q1,d_year = 2000 and d_moy between 1 and 5,80,69219
1,585000,q13,d_year = 2000 and d_moy between 1 and 9,5,62603
1,590000,q13,d_year = 2000 and d_moy between 1 and 9,15,58486
1,595000,q13,d_year = 2000 and d_moy between 1 and 8,25,60701
1,600000,q12,d_year = 2000 and d_moy between 1 and 8,44,12070
1,670000,q12,d_year = 2000 and d_moy between 1 and 10,11,24073
1,675000,q1,d_year = 2000 and d_moy between 1 and 6,28,67056
1,680000,q13,d_year = 2000 and d_moy between 1 and 7,38,58340
1,685000,q1,d_year = 2000 and d_moy between 1 and 5,55,56920
1,690000,q13,d_year = 2000 and d_moy between 1 and 9,65,48857
