app,start,query,range,delay,duration
0,10000,q13,d_year = 2000 and d_moy between 1 and 8,83,56940
0,15000,q13,d_year = 2000 and d_moy between 1 and 7,0,51975
0,20000,q12,d_year = 2000 and d_moy between 1 and 7,15,46985
0,25000,q1,d_year = 2000 and d_moy between 1 and 3,49,54222
0,30000,q1,d_year = 2000 and d_moy between 1 and 3,56,13860
0,100000,q12,d_year = 2000 and d_moy between 1 and 8,53,11132
0,105000,q12,d_year = 2000 and d_moy between 1 and 7,67,11326
0,110000,q1,d_year = 2000 and d_moy between 1 and 3,24,22666
0,115000,q12,d_year = 2000 and d_moy between 1 and 7,76,10173
0,120000,q12,d_year = 2000 and d_moy between 1 and 9,84,15753
0,190000,q10,d_year = 2000 and d_moy = 1,18,43912
0,195000,q12,d_year = 2000 and d_moy between 1 and 9,45,19830
0,200000,q13,d_year = 2000 and d_moy between 1 and 7,23,33602
0,205000,q13,d_year = 2000 and d_moy between 1 and 8,32,30132
0,210000,q12,d_year = 2000 and d_moy between 1 and 9,41,20763
0,280000,q1,d_year = 2000 and d_moy between 1 and 5,1,29576
0,285000,q10,d_year = 2000 and d_moy = 1,80,15992
0,290000,q1,d_year = 2000 and d_moy between 1 and 3,89,28685
0,295000,q13,d_year = 2000 and d_moy between 1 and 6,44,20219
0,300000,q1,d_year = 2000 and d_moy between 1 and 4,56,20324
0,370000,q12,d_year = 2000 and d_moy between 1 and 7,43,25407
0,375000,q7,d_year = 2000,56,34483
0,380000,q12,d_year = 2000 and d_moy between 1 and 9,31,36391
0,385000,q13,d_year = 2000 and d_moy between 1 and 6,38,30785
0,390000,q1,d_year = 2000 and d_moy between 1 and 5,49,28019
0,460000,q12,d_year = 2000 and d_moy between 1 and 8,19,13952
0,465000,q12,d_year = 2000 and d_moy between 1 and 9,50,15108
0,470000,q1,d_year = 2000 and d_moy between 1 and 3,58,22260
0,475000,q1,d_year = 2000 and d_moy between 1 and 4,71,20503
0,480000,q12,d_year = 2000 and d_moy between 1 and 9,82,14451
0,550000,q10,d_year = 2000 and d_moy = 1,22,18909
0,555000,q13,d_year = 2000 and d_moy between 1 and 7,68,31854
0,560000,q13,d_year = 2000 and d_moy between 1 and 7,81,30937
0,565000,q13,d_year = 2000 and d_moy between 1 and 7,88,30078
0,570000,q1,d_year = 2000 and d_moy between 1 and 3,5,28642
0,640000,q1,d_year = 2000 and d_moy between 1 and 4,45,31710
0,645000,q13,d_year = 2000 and d_moy between 1 and 8,99,27092
0,650000,q12,d_year = 2000 and d_moy between 1 and 8,7,22624
0,655000,q12,d_year = 2000 and d_moy between 1 and 9,17,17750
0,660000,q12,d_year = 2000 and d_moy between 1 and 7,25,6761
