app,start,query,range,delay,duration
0,0,q12,d_year = 2000 and d_moy between 1 and 10,47,98590
0,0,q1,d_year = 2000 and d_moy between 1 and 3,55,115084
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),56,110235
0,0,q7,d_year = 2000 and d_moy between 1 and 9,58,101136
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),60,113730
0,0,q13,d_year = 2000 and d_moy between 1 and 5,60,108863
0,180000,q12,d_year = 2000 and d_moy between 1 and 10,60,46121
0,180000,q7,d_year = 2000 and d_moy between 1 and 9,62,46441
0,180000,q13,d_year = 2000 and d_moy between 1 and 6,62,55396
0,180000,q13,d_year = 2000 and d_moy between 1 and 7,63,54592
0,180000,q7,d_year = 2000 and d_moy between 1 and 9,63,53435
0,180000,q12,d_year = 2000 and d_moy between 1 and 10,64,46442
0,360000,q13,d_year = 2000 and d_moy between 1 and 6,38,47534
0,360000,q13,d_year = 2000 and d_moy between 1 and 6,39,49586
0,360000,q12,d_year = 2000 and d_moy between 1 and 11,40,46377
0,360000,q7,d_year = 2000 and d_moy between 1 and 9,42,30509
0,360000,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),51,49716
0,360000,q7,d_year = 2000 and d_moy between 1 and 9,61,31343
0,540000,q7,d_year = 2000 and d_moy between 1 and 10,72,23040
0,540000,q13,d_year = 2000 and d_moy between 1 and 6,74,50439
0,540000,q13,d_year = 2000 and d_moy between 1 and 7,74,49422
0,540000,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),74,51140
0,540000,q13,d_year = 2000 and d_moy between 1 and 6,74,51175
0,540000,q13,d_year = 2000 and d_moy between 1 and 6,79,48648
0,720000,q7,d_year = 2000 and d_moy between 1 and 10,62,21300
0,720000,q13,d_year = 2000 and d_moy between 1 and 5,62,43221
0,720000,q12,d_year = 2000 and d_moy between 1 and 10,63,36080
0,720000,q10,d_date = cast('2000-04-30' as date),64,45141
0,720000,q13,d_year = 2000 and d_moy between 1 and 6,64,43605
0,720000,q13,d_year = 2000 and d_moy between 1 and 5,64,44516
