app,start,query,range,delay,duration
0,0,q10,d_year = 2000 and d_moy = 1,74,133650
0,0,q1,d_year = 2000 and d_moy between 1 and 3,80,120574
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),80,131991
0,0,q7,d_year = 2000 and d_moy between 1 and 11,87,100405
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),96,130731
0,0,q12,d_year = 2000 and d_moy between 1 and 11,97,104644
0,0,q13,d_year = 2000 and d_moy between 1 and 7,98,116871
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),105,130367
0,0,q10,d_year = 2000 and d_moy = 1,116,130865
0,0,q10,d_date = cast('2000-04-30' as date),117,130481
0,165000,q12,d_year = 2000 and d_moy between 1 and 11,36,10808
0,171738,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),13,24711
0,177546,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),41,19067
0,182679,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),18,32936
0,187331,q12,d_year = 2000,87,12647
0,193988,q12,d_year = 2000 and d_moy between 1 and 11,46,21385
0,199847,q13,d_year = 2000 and d_moy between 1 and 6,96,26988
0,205796,q10,d_year = 2000 and d_moy = 1,56,40224
0,211498,q13,d_year = 2000 and d_moy between 1 and 7,63,32569
0,217344,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),88,47896
0,222803,q1,d_year = 2000 and d_moy between 1 and 4,75,29164
0,230318,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),97,34065
0,235461,q1,d_year = 2000 and d_moy between 1 and 3,90,25904
0,240628,q1,d_year = 2000 and d_moy between 1 and 4,32,23026
0,247838,q10,d_date = cast('2000-04-30' as date),32,75418
0,253156,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),22,70130
0,257949,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),99,65251
0,263902,q12,d_year = 2000 and d_moy between 1 and 11,84,60030
0,270917,q7,d_year = 2000 and d_moy between 1 and 10,31,52330
0,276875,q12,d_year = 2000 and d_moy between 1 and 11,13,85509
0,283729,q7,d_year = 2000 and d_moy between 1 and 11,69,55611
0,289839,q7,d_year = 2000 and d_moy between 1 and 10,69,49539
0,295636,q13,d_year = 2000 and d_moy between 1 and 7,43,134448
0,302327,q1,d_year = 2000 and d_moy between 1 and 3,62,132078
0,308297,q7,d_year = 2000 and d_moy between 1 and 11,2,71846
0,314731,q1,d_year = 2000 and d_moy between 1 and 4,84,120109
0,320631,q12,d_year = 2000,21,69427
0,327134,q7,d_year = 2000 and d_moy between 1 and 11,33,95169
0,333845,q1,d_year = 2000 and d_moy between 1 and 4,32,172265
0,341370,q13,d_year = 2000 and d_moy between 1 and 7,23,120464
0,348197,q12,d_year = 2000 and d_moy between 1 and 11,77,81645
0,354200,q13,d_year = 2000 and d_moy between 1 and 7,83,151858
0,360824,q12,d_year = 2000 and d_moy between 1 and 11,68,87278
0,366395,q7,d_year = 2000 and d_moy between 1 and 10,7,77287
0,372342,q10,d_date = cast('2000-04-30' as date),70,133925
0,377520,q12,d_year = 2000,30,70517
0,383183,q1,d_year = 2000 and d_moy between 1 and 4,7,193460
0,390321,q1,d_year = 2000 and d_moy between 1 and 4,81,197813
0,396818,q10,d_date = cast('2000-04-30' as date),96,176331
0,402549,q12,d_year = 2000 and d_moy between 1 and 11,76,93735
0,408935,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),14,164018
0,413229,q10,d_date = cast('2000-04-30' as date),26,159878
0,418297,q10,d_year = 2000 and d_moy = 1,64,154847
0,425127,q12,d_year = 2000,61,71246
0,431249,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),95,141938
0,436033,q10,d_date = cast('2000-04-30' as date),43,140457
0,441855,q13,d_year = 2000 and d_moy between 1 and 6,71,146255
0,446619,q12,d_year = 2000,60,101717
0,453388,q7,d_year = 2000 and d_moy between 1 and 11,18,86161
0,459355,q7,d_year = 2000 and d_moy between 1 and 10,71,105872
0,465627,q13,d_year = 2000 and d_moy between 1 and 6,30,147330
0,471615,q7,d_year = 2000 and d_moy between 1 and 10,66,109862
0,476849,q7,d_year = 2000 and d_moy between 1 and 10,70,110876
0,481347,q13,d_year = 2000 and d_moy between 1 and 6,3,179077
0,486369,q12,d_year = 2000,94,101455
0,493019,q12,d_year = 2000,24,106872
0,500519,q7,d_year = 2000 and d_moy between 1 and 11,37,99549
0,506227,q1,d_year = 2000 and d_moy between 1 and 4,84,236506
