app,start,query,range,delay,duration
1,0,q10,d_year = 2000 and d_moy = 1,30,154958
1,0,q7,d_year = 2000 and d_moy between 1 and 11,36,143675
1,0,q13,d_year = 2000 and d_moy between 1 and 6,38,148930
1,0,q13,d_year = 2000 and d_moy between 1 and 7,41,148071
1,168750,q13,d_year = 2000 and d_moy between 1 and 7,9,14570
1,184250,q10,d_date = cast('2000-04-30' as date),91,24803
1,196941,q10,d_year = 2000 and d_moy = 1,47,66133
1,211802,q7,d_year = 2000 and d_moy between 1 and 10,86,33478
1,225079,q10,d_date = cast('2000-04-30' as date),36,90632
1,238399,q13,d_year = 2000 and d_moy between 1 and 7,53,76311
1,253882,q13,d_year = 2000 and d_moy between 1 and 6,78,61893
1,267961,q7,d_year = 2000 and d_moy between 1 and 10,48,57296
1,280681,q10,d_year = 2000 and d_moy = 1,53,123606
1,296917,q10,d_date = cast('2000-04-30' as date),91,29289
1,309885,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),51,112343
1,321885,q7,d_year = 2000 and d_moy between 1 and 11,30,65295
1,338560,q13,d_year = 2000 and d_moy between 1 and 7,28,124300
1,354266,q1,d_year = 2000 and d_moy between 1 and 3,62,164283
1,368076,q1,d_year = 2000 and d_moy between 1 and 4,37,219441
1,385181,q12,d_year = 2000 and d_moy between 1 and 11,15,78109
1,399937,q13,d_year = 2000 and d_moy between 1 and 6,94,134611
1,412819,q10,d_date = cast('2000-04-30' as date),39,175528
1,425955,q13,d_year = 2000 and d_moy between 1 and 6,7,128671
1,438414,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),35,165292
1,452290,q7,d_year = 2000 and d_moy between 1 and 11,98,111063
1,468570,q10,d_year = 2000 and d_moy = 1,2,203880
1,483002,q12,d_year = 2000 and d_moy between 1 and 11,45,105322
1,497364,q12,d_year = 2000,52,91271
1,514249,q1,d_year = 2000 and d_moy between 1 and 3,42,246419
1,529002,q7,d_year = 2000 and d_moy between 1 and 11,83,109989
1,544786,q13,d_year = 2000 and d_moy between 1 and 7,83,171104
1,560475,q12,d_year = 2000,40,112095
1,576262,q13,d_year = 2000 and d_moy between 1 and 7,81,184400
1,591702,q12,d_year = 2000 and d_moy between 1 and 11,72,125672
1,606620,q13,d_year = 2000 and d_moy between 1 and 7,90,186456
1,620515,q10,d_year = 2000 and d_moy = 1,31,187475
1,635301,q7,d_year = 2000 and d_moy between 1 and 10,54,159062
