app,start,query,range,delay,duration
0,0,q10,d_year = 2000 and d_moy = 1,45,210854
0,0,q1,d_year = 2000 and d_moy between 1 and 3,52,317511
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),53,211428
0,0,q7,d_year = 2000 and d_moy between 1 and 11,56,138828
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),65,210811
0,0,q12,d_year = 2000 and d_moy between 1 and 11,76,167434
0,0,q13,d_year = 2000 and d_moy between 1 and 7,83,210724
0,0,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),84,211740
0,0,q10,d_year = 2000 and d_moy = 1,88,212648
0,165000,q12,d_year = 2000 and d_moy between 1 and 11,21,115168
0,172410,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),24,169315
0,178806,q1,d_year = 2000 and d_moy between 1 and 3,46,372125
0,184872,q7,d_year = 2000 and d_moy between 1 and 11,99,131100
0,191601,q12,d_year = 2000 and d_moy between 1 and 11,43,126287
0,198345,q7,d_year = 2000 and d_moy between 1 and 11,4,139940
0,205365,q10,d_year = 2000 and d_moy = 1,12,237879
0,212705,q7,d_year = 2000 and d_moy between 1 and 10,100,178654
0,218242,q12,d_year = 2000 and d_moy between 1 and 11,46,173232
0,224917,q13,d_year = 2000 and d_moy between 1 and 6,86,285506
0,231063,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),55,276874
0,237760,q13,d_year = 2000 and d_moy between 1 and 7,80,308236
0,244317,q1,d_year = 2000 and d_moy between 1 and 4,39,389921
0,251324,q13,d_year = 2000 and d_moy between 1 and 6,45,295467
0,257815,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),83,252579
0,263756,q12,d_year = 2000 and d_moy between 1 and 11,57,166155
0,269979,q13,d_year = 2000 and d_moy between 1 and 7,43,300049
0,277346,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),93,269890
0,284192,q12,d_year = 2000,9,170339
0,292184,q7,d_year = 2000 and d_moy between 1 and 11,30,180941
0,300199,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),39,254017
0,305523,q13,d_year = 2000 and d_moy between 1 and 6,30,278975
0,311962,q10,d_year = 2000 and d_moy = 1,4,252775
0,319532,q10,d_year = 2000 and d_moy = 1,1,257213
0,326672,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),81,254286
0,332320,q7,d_year = 2000 and d_moy between 1 and 11,74,160343
0,338732,q7,d_year = 2000 and d_moy between 1 and 11,74,177664
0,345810,q7,d_year = 2000 and d_moy between 1 and 10,69,141366
0,351963,q12,d_year = 2000 and d_moy between 1 and 11,70,152200
0,359510,q13,d_year = 2000 and d_moy between 1 and 7,41,292905
