app,start,query,range,delay,duration
0,0,q12,d_year = 2000 or d_year = 2001,39,250524
0,0,q1,d_year = 2000 and d_moy between 1 and 10,45,802994
0,0,q1,d_year = 2000 and d_moy between 1 and 9,46,803205
0,0,q1,d_year = 2000 and d_moy between 1 and 9,49,799306
0,0,q13,d_year = 2000 and d_moy between 1 and 11,53,429534
0,0,q1,d_year = 2000 and d_moy between 1 and 9,55,803059
0,0,q12,d_year = 2000 or d_year = 2001,62,415266
0,0,q1,d_year = 2000 and d_moy between 1 and 8,87,803140
0,0,q10,d_year = 2000 and d_moy between 1 and 3,89,429967
0,0,q13,d_year = 2000 and d_moy between 1 and 11,92,428880
0,270000,q10,d_year = 2000 and d_moy between 1 and 3,1,578862
0,280521,q1,d_year = 2000 and d_moy between 1 and 9,2,730242
0,290381,q1,d_year = 2000 and d_moy between 1 and 8,67,720488
0,299780,q1,d_year = 2000 and d_moy between 1 and 10,94,777747
0,310145,q1,d_year = 2000 and d_moy between 1 and 8,97,719335
0,319544,q13,d_year = 2000 and d_moy between 1 and 10,19,483889
0,329016,q13,d_year = 2000 and d_moy between 1 and 9,11,590224
0,337643,q13,d_year = 2000 and d_moy between 1 and 11,11,465798
0,348775,q1,d_year = 2000 and d_moy between 1 and 7,9,765769
0,357678,q10,d_year = 2000 and d_moy between 1 and 3,25,491349
0,368199,q13,d_year = 2000 and d_moy between 1 and 11,25,478936
0,379330,q1,d_year = 2000 and d_moy between 1 and 7,16,832170
0,388233,q13,d_year = 2000 and d_moy between 1 and 9,32,581951
0,396860,q1,d_year = 2000 and d_moy between 1 and 8,21,888022
0,406259,q13,d_year = 2000 and d_moy between 1 and 11,47,559010
0,417391,q1,d_year = 2000 and d_moy between 1 and 10,41,828936
0,427755,q12,d_year = 2000 or d_year = 2001,42,370122
0,439238,q1,d_year = 2000 and d_moy between 1 and 10,96,825974
0,449602,q1,d_year = 2000 and d_moy between 1 and 8,96,826369
0,459001,q13,d_year = 2000 and d_moy between 1 and 9,45,598743
0,467629,q1,d_year = 2000 and d_moy between 1 and 7,36,825757
0,476532,q1,d_year = 2000 and d_moy between 1 and 8,52,827711
0,485931,q12,d_year = 2000 or d_year = 2001,23,328250
0,497413,q10,d_year = 2000 and d_moy between 1 and 3,69,481896
0,507934,q13,d_year = 2000 and d_moy between 1 and 11,70,468345
0,519066,q13,d_year = 2000 and d_moy between 1 and 11,58,411481
0,530197,q1,d_year = 2000 and d_moy between 1 and 8,89,921529
0,539596,q13,d_year = 2000 and d_moy between 1 and 9,7,620409
0,548223,q1,d_year = 2000 and d_moy between 1 and 9,99,918685
0,558084,q13,d_year = 2000 and d_moy between 1 and 10,59,618289
0,567556,q12,d_year = 2000 or d_year = 2001,5,436731
0,579039,q12,d_year = 2000 or d_year = 2001,46,392296
0,590522,q13,d_year = 2000 and d_moy between 1 and 9,88,663010
0,599149,q13,d_year = 2000 and d_moy between 1 and 11,80,514477
0,610280,q1,d_year = 2000 and d_moy between 1 and 10,71,930510
0,620645,q12,d_year = 2000 or d_year = 2001,30,344939
0,632127,q13,d_year = 2000 and d_moy between 1 and 11,73,568868
0,643259,q13,d_year = 2000 and d_moy between 1 and 11,66,568739
0,654390,q1,d_year = 2000 and d_moy between 1 and 9,71,992157
0,664251,q1,d_year = 2000 and d_moy between 1 and 8,31,975982
0,673650,q12,d_year = 2000 or d_year = 2001,55,379411
0,685132,q13,d_year = 2000 and d_moy between 1 and 10,95,502814
0,694605,q1,d_year = 2000 and d_moy between 1 and 8,21,873226
0,704004,q1,d_year = 2000 and d_moy between 1 and 10,49,814320
0,714368,q12,d_year = 2000 or d_year = 2001,6,302250
0,725851,q10,d_year = 2000 and d_moy between 1 and 3,50,634024
0,736372,q13,d_year = 2000 and d_moy between 1 and 10,49,593597
0,745844,q10,d_year = 2000 and d_moy between 1 and 3,0,677650
0,756365,q1,d_year = 2000 and d_moy between 1 and 9,98,793088
0,766226,q13,d_year = 2000 and d_moy between 1 and 9,56,691748
0,774853,q1,d_year = 2000 and d_moy between 1 and 8,49,841058
