app,start,duration,query,range
0,0,50450,q12,d_year = 2000 and d_moy between 1 and 11
0,0,46386,q1,d_year = 2000 and d_moy between 1 and 3
0,0,50861,q10,d_year = 2000 and d_moy = 1
0,0,50861,q10,d_year = 2000 and d_moy = 1
1,0,50450,q12,d_year = 2000 and d_moy between 1 and 11
1,0,62125,q7,d_year = 2000
1,0,54448,q7,d_year = 2000 and d_moy between 1 and 11
1,0,50450,q12,d_year = 2000 and d_moy between 1 and 11
2,0,62125,q7,d_year = 2000
2,0,62125,q7,d_year = 2000
2,0,49028,q13,d_year = 2000 and d_moy between 1 and 7
2,0,60480,q1,d_year = 2000 and d_moy between 1 and 5
3,0,62125,q7,d_year = 2000
3,0,54448,q7,d_year = 2000 and d_moy between 1 and 11
3,0,50861,q10,d_year = 2000 and d_moy = 1
3,0,62125,q7,d_year = 2000
0,180000,50450,q12,d_year = 2000 and d_moy between 1 and 11
0,180000,62125,q7,d_year = 2000
0,180000,54448,q7,d_year = 2000 and d_moy between 1 and 11
0,180000,50450,q12,d_year = 2000 and d_moy between 1 and 11
1,180000,62125,q7,d_year = 2000
1,180000,62125,q7,d_year = 2000
1,180000,49028,q13,d_year = 2000 and d_moy between 1 and 7
1,180000,60480,q1,d_year = 2000 and d_moy between 1 and 5
2,180000,62125,q7,d_year = 2000
2,180000,54448,q7,d_year = 2000 and d_moy between 1 and 11
2,180000,50861,q10,d_year = 2000 and d_moy = 1
2,180000,62125,q7,d_year = 2000
3,180000,60408,q13,d_year = 2000 and d_moy between 1 and 8
3,180000,50450,q12,d_year = 2000 and d_moy between 1 and 11
3,180000,56356,q1,d_year = 2000 and d_moy between 1 and 4
3,180000,62125,q7,d_year = 2000
0,420000,62125,q7,d_year = 2000
0,420000,62125,q7,d_year = 2000
0,420000,49028,q13,d_year = 2000 and d_moy between 1 and 7
0,420000,60480,q1,d_year = 2000 and d_moy between 1 and 5
1,420000,60408,q13,d_year = 2000 and d_moy between 1 and 8
1,420000,50450,q12,d_year = 2000 and d_moy between 1 and 11
1,420000,56356,q1,d_year = 2000 and d_moy between 1 and 4
1,420000,62125,q7,d_year = 2000
2,420000,54448,q7,d_year = 2000 and d_moy between 1 and 11
2,420000,50861,q10,d_year = 2000 and d_moy = 1
2,420000,55767,q12,d_year = 2000
2,420000,46386,q1,d_year = 2000 and d_moy between 1 and 3
3,420000,50861,q10,d_year = 2000 and d_moy = 1
3,420000,55767,q12,d_year = 2000
3,420000,56356,q1,d_year = 2000 and d_moy between 1 and 4
3,420000,54448,q7,d_year = 2000 and d_moy between 1 and 11
0,660000,62125,q7,d_year = 2000
0,660000,54448,q7,d_year = 2000 and d_moy between 1 and 11
0,660000,50861,q10,d_year = 2000 and d_moy = 1
0,660000,62125,q7,d_year = 2000
1,660000,54448,q7,d_year = 2000 and d_moy between 1 and 11
1,660000,50861,q10,d_year = 2000 and d_moy = 1
1,660000,55767,q12,d_year = 2000
1,660000,46386,q1,d_year = 2000 and d_moy between 1 and 3
2,660000,50450,q12,d_year = 2000 and d_moy between 1 and 11
2,660000,49028,q13,d_year = 2000 and d_moy between 1 and 7
2,660000,62125,q7,d_year = 2000
2,660000,49028,q13,d_year = 2000 and d_moy between 1 and 7
3,660000,49028,q13,d_year = 2000 and d_moy between 1 and 7
3,660000,56356,q1,d_year = 2000 and d_moy between 1 and 4
3,660000,60480,q1,d_year = 2000 and d_moy between 1 and 5
3,660000,50861,q10,d_year = 2000 and d_moy = 1
0,900000,60408,q13,d_year = 2000 and d_moy between 1 and 8
0,900000,50450,q12,d_year = 2000 and d_moy between 1 and 11
0,900000,56356,q1,d_year = 2000 and d_moy between 1 and 4
0,900000,62125,q7,d_year = 2000
1,900000,50861,q10,d_year = 2000 and d_moy = 1
1,900000,55767,q12,d_year = 2000
1,900000,56356,q1,d_year = 2000 and d_moy between 1 and 4
1,900000,54448,q7,d_year = 2000 and d_moy between 1 and 11
2,900000,49028,q13,d_year = 2000 and d_moy between 1 and 7
2,900000,56356,q1,d_year = 2000 and d_moy between 1 and 4
2,900000,60480,q1,d_year = 2000 and d_moy between 1 and 5
