app,start,duration,query,range
0,10000,27183,q13,d_year = 2000 and d_moy between 1 and 8
1,10000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,10000,22887,q10,d_year = 2000 and d_moy = 1
0,15000,22062,q13,d_year = 2000 and d_moy between 1 and 7
1,15000,30464,q10,d_year = 2000 and d_moy between 1 and 2
2,15000,25112,q12,d_year = 2000 and d_moy between 1 and 8
0,20000,30464,q10,d_year = 2000 and d_moy between 1 and 2
1,20000,24501,q7,d_year = 2000 and d_moy between 1 and 11
2,20000,22062,q13,d_year = 2000 and d_moy between 1 and 7
0,25000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,25000,25360,q1,d_year = 2000 and d_moy between 1 and 4
2,25000,27183,q13,d_year = 2000 and d_moy between 1 and 8
0,30000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,30000,30464,q10,d_year = 2000 and d_moy between 1 and 2
2,30000,25112,q12,d_year = 2000 and d_moy between 1 and 8
0,100000,31873,q12,d_year = 2000 and d_moy between 1 and 10
1,100000,30037,q1,d_year = 2000 and d_moy between 1 and 6
2,100000,31873,q12,d_year = 2000 and d_moy between 1 and 10
0,105000,30464,q10,d_year = 2000 and d_moy between 1 and 2
1,105000,22887,q10,d_year = 2000 and d_moy = 1
2,105000,25112,q12,d_year = 2000 and d_moy between 1 and 8
0,110000,24501,q7,d_year = 2000 and d_moy between 1 and 11
1,110000,25360,q1,d_year = 2000 and d_moy between 1 and 4
2,110000,25360,q1,d_year = 2000 and d_moy between 1 and 4
0,115000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,115000,27647,q12,d_year = 2000 and d_moy between 1 and 9
2,115000,27216,q1,d_year = 2000 and d_moy between 1 and 5
0,120000,30464,q10,d_year = 2000 and d_moy between 1 and 2
1,120000,27216,q1,d_year = 2000 and d_moy between 1 and 5
2,120000,25112,q12,d_year = 2000 and d_moy between 1 and 8
0,190000,22887,q10,d_year = 2000 and d_moy = 1
1,190000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,190000,31873,q12,d_year = 2000 and d_moy between 1 and 10
0,195000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,195000,25112,q12,d_year = 2000 and d_moy between 1 and 8
2,195000,22887,q10,d_year = 2000 and d_moy = 1
0,200000,22062,q13,d_year = 2000 and d_moy between 1 and 7
1,200000,25360,q1,d_year = 2000 and d_moy between 1 and 4
2,200000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,205000,27183,q13,d_year = 2000 and d_moy between 1 and 8
1,205000,27216,q1,d_year = 2000 and d_moy between 1 and 5
2,205000,30037,q1,d_year = 2000 and d_moy between 1 and 6
0,210000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,210000,25112,q12,d_year = 2000 and d_moy between 1 and 8
2,210000,22062,q13,d_year = 2000 and d_moy between 1 and 7
0,280000,30037,q1,d_year = 2000 and d_moy between 1 and 6
1,280000,27216,q1,d_year = 2000 and d_moy between 1 and 5
2,280000,27647,q12,d_year = 2000 and d_moy between 1 and 9
0,285000,22887,q10,d_year = 2000 and d_moy = 1
1,285000,27183,q13,d_year = 2000 and d_moy between 1 and 8
2,285000,27956,q7,d_year = 2000
0,290000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,290000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,290000,31873,q12,d_year = 2000 and d_moy between 1 and 10
0,295000,27647,q12,d_year = 2000 and d_moy between 1 and 9
1,295000,25112,q12,d_year = 2000 and d_moy between 1 and 8
2,295000,25112,q12,d_year = 2000 and d_moy between 1 and 8
0,300000,27216,q1,d_year = 2000 and d_moy between 1 and 5
1,300000,30464,q10,d_year = 2000 and d_moy between 1 and 2
2,300000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,370000,30464,q10,d_year = 2000 and d_moy between 1 and 2
1,370000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,370000,27183,q13,d_year = 2000 and d_moy between 1 and 8
0,375000,31203,q13,d_year = 2000 and d_moy between 1 and 9
1,375000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,375000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,380000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,380000,30464,q10,d_year = 2000 and d_moy between 1 and 2
2,380000,27647,q12,d_year = 2000 and d_moy between 1 and 9
0,385000,27647,q12,d_year = 2000 and d_moy between 1 and 9
1,385000,24501,q7,d_year = 2000 and d_moy between 1 and 11
2,385000,27216,q1,d_year = 2000 and d_moy between 1 and 5
0,390000,24501,q7,d_year = 2000 and d_moy between 1 and 11
1,390000,27647,q12,d_year = 2000 and d_moy between 1 and 9
2,390000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,460000,31873,q12,d_year = 2000 and d_moy between 1 and 10
1,460000,27647,q12,d_year = 2000 and d_moy between 1 and 9
2,460000,27216,q1,d_year = 2000 and d_moy between 1 and 5
0,465000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,465000,27956,q7,d_year = 2000
2,465000,27956,q7,d_year = 2000
0,470000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,470000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,470000,31873,q12,d_year = 2000 and d_moy between 1 and 10
0,475000,27216,q1,d_year = 2000 and d_moy between 1 and 5
1,475000,25112,q12,d_year = 2000 and d_moy between 1 and 8
2,475000,22887,q10,d_year = 2000 and d_moy = 1
0,480000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,480000,24501,q7,d_year = 2000 and d_moy between 1 and 11
2,480000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,550000,22887,q10,d_year = 2000 and d_moy = 1
1,550000,27216,q1,d_year = 2000 and d_moy between 1 and 5
2,550000,25360,q1,d_year = 2000 and d_moy between 1 and 4
0,555000,22062,q13,d_year = 2000 and d_moy between 1 and 7
1,555000,31203,q13,d_year = 2000 and d_moy between 1 and 9
2,555000,22887,q10,d_year = 2000 and d_moy = 1
0,560000,22062,q13,d_year = 2000 and d_moy between 1 and 7
1,560000,31203,q13,d_year = 2000 and d_moy between 1 and 9
2,560000,24501,q7,d_year = 2000 and d_moy between 1 and 11
0,565000,22062,q13,d_year = 2000 and d_moy between 1 and 7
1,565000,27183,q13,d_year = 2000 and d_moy between 1 and 8
2,565000,30037,q1,d_year = 2000 and d_moy between 1 and 6
0,570000,25360,q1,d_year = 2000 and d_moy between 1 and 4
1,570000,25112,q12,d_year = 2000 and d_moy between 1 and 8
2,570000,25360,q1,d_year = 2000 and d_moy between 1 and 4
0,640000,27216,q1,d_year = 2000 and d_moy between 1 and 5
1,640000,31873,q12,d_year = 2000 and d_moy between 1 and 10
2,640000,30464,q10,d_year = 2000 and d_moy between 1 and 2
0,645000,27183,q13,d_year = 2000 and d_moy between 1 and 8
1,645000,30037,q1,d_year = 2000 and d_moy between 1 and 6
2,645000,22887,q10,d_year = 2000 and d_moy = 1
0,650000,31873,q12,d_year = 2000 and d_moy between 1 and 10
1,650000,22062,q13,d_year = 2000 and d_moy between 1 and 7
2,650000,27216,q1,d_year = 2000 and d_moy between 1 and 5
0,655000,25112,q12,d_year = 2000 and d_moy between 1 and 8
1,655000,27216,q1,d_year = 2000 and d_moy between 1 and 5
2,655000,27956,q7,d_year = 2000
0,660000,30464,q10,d_year = 2000 and d_moy between 1 and 2
1,660000,31203,q13,d_year = 2000 and d_moy between 1 and 9
2,660000,22887,q10,d_year = 2000 and d_moy = 1
