app,start,duration,query,range
0,0,66921,q12,d_year = 2000
0,0,55663,q1,d_year = 2000 and d_moy between 1 and 3
0,0,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,0,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,0,66921,q12,d_year = 2000
1,0,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,0,53254,q13,d_year = 2000 and d_moy between 1 and 6
1,0,58833,q13,d_year = 2000 and d_moy between 1 and 7
2,0,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,0,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,0,49026,q12,d_year = 2000 and d_moy between 1 and 10
2,0,65338,q7,d_year = 2000 and d_moy between 1 and 11
3,0,52773,q7,d_year = 2000 and d_moy between 1 and 10
3,0,53254,q13,d_year = 2000 and d_moy between 1 and 6
3,0,58833,q13,d_year = 2000 and d_moy between 1 and 7
3,0,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,180000,66921,q12,d_year = 2000
0,180000,65338,q7,d_year = 2000 and d_moy between 1 and 11
0,180000,53254,q13,d_year = 2000 and d_moy between 1 and 6
0,180000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,180000,53254,q13,d_year = 2000 and d_moy between 1 and 6
1,180000,53254,q13,d_year = 2000 and d_moy between 1 and 6
1,180000,49026,q12,d_year = 2000 and d_moy between 1 and 10
1,180000,65338,q7,d_year = 2000 and d_moy between 1 and 11
2,180000,52773,q7,d_year = 2000 and d_moy between 1 and 10
2,180000,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,180000,58833,q13,d_year = 2000 and d_moy between 1 and 7
2,180000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
3,180000,52773,q7,d_year = 2000 and d_moy between 1 and 10
3,180000,60540,q12,d_year = 2000 and d_moy between 1 and 11
3,180000,66921,q12,d_year = 2000
3,180000,49971,q10,d_date = cast('2000-04-30' as date)
0,420000,53254,q13,d_year = 2000 and d_moy between 1 and 6
0,420000,53254,q13,d_year = 2000 and d_moy between 1 and 6
0,420000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,420000,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,420000,52773,q7,d_year = 2000 and d_moy between 1 and 10
1,420000,60540,q12,d_year = 2000 and d_moy between 1 and 11
1,420000,66921,q12,d_year = 2000
1,420000,49971,q10,d_date = cast('2000-04-30' as date)
2,420000,52773,q7,d_year = 2000 and d_moy between 1 and 10
2,420000,58833,q13,d_year = 2000 and d_moy between 1 and 7
2,420000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,420000,61033,q10,d_year = 2000 and d_moy = 1
3,420000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
3,420000,61033,q10,d_year = 2000 and d_moy = 1
3,420000,49971,q10,d_date = cast('2000-04-30' as date)
3,420000,58833,q13,d_year = 2000 and d_moy between 1 and 7
0,660000,52773,q7,d_year = 2000 and d_moy between 1 and 10
0,660000,53254,q13,d_year = 2000 and d_moy between 1 and 6
0,660000,58833,q13,d_year = 2000 and d_moy between 1 and 7
0,660000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,660000,52773,q7,d_year = 2000 and d_moy between 1 and 10
1,660000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,660000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,660000,61033,q10,d_year = 2000 and d_moy = 1
2,660000,66921,q12,d_year = 2000
2,660000,49026,q12,d_year = 2000 and d_moy between 1 and 10
2,660000,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,660000,65338,q7,d_year = 2000 and d_moy between 1 and 11
3,660000,65338,q7,d_year = 2000 and d_moy between 1 and 11
3,660000,65338,q7,d_year = 2000 and d_moy between 1 and 11
3,660000,49026,q12,d_year = 2000 and d_moy between 1 and 10
3,660000,49971,q10,d_date = cast('2000-04-30' as date)
0,900000,52773,q7,d_year = 2000 and d_moy between 1 and 10
0,900000,60540,q12,d_year = 2000 and d_moy between 1 and 11
0,900000,66921,q12,d_year = 2000
0,900000,49971,q10,d_date = cast('2000-04-30' as date)
1,900000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,900000,61033,q10,d_year = 2000 and d_moy = 1
1,900000,49971,q10,d_date = cast('2000-04-30' as date)
1,900000,58833,q13,d_year = 2000 and d_moy between 1 and 7
2,900000,65338,q7,d_year = 2000 and d_moy between 1 and 11
2,900000,65338,q7,d_year = 2000 and d_moy between 1 and 11
2,900000,49026,q12,d_year = 2000 and d_moy between 1 and 10
2,900000,49971,q10,d_date = cast('2000-04-30' as date)
3,900000,58833,q13,d_year = 2000 and d_moy between 1 and 7
3,900000,58833,q13,d_year = 2000 and d_moy between 1 and 7
3,900000,66921,q12,d_year = 2000
3,900000,49971,q10,d_date = cast('2000-04-30' as date)
0,1140000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,1140000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,1140000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,1140000,55663,q1,d_year = 2000 and d_moy between 1 and 3
1,1140000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,1140000,61033,q10,d_year = 2000 and d_moy = 1
1,1140000,55663,q1,d_year = 2000 and d_moy between 1 and 3
1,1140000,49971,q10,d_date = cast('2000-04-30' as date)
2,1140000,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,1140000,66921,q12,d_year = 2000
2,1140000,66921,q12,d_year = 2000
2,1140000,60540,q12,d_year = 2000 and d_moy between 1 and 11
3,1140000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
3,1140000,52773,q7,d_year = 2000 and d_moy between 1 and 10
3,1140000,52773,q7,d_year = 2000 and d_moy between 1 and 10
3,1140000,58833,q13,d_year = 2000 and d_moy between 1 and 7
0,1380000,52773,q7,d_year = 2000 and d_moy between 1 and 10
0,1380000,58833,q13,d_year = 2000 and d_moy between 1 and 7
0,1380000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,1380000,61033,q10,d_year = 2000 and d_moy = 1
1,1380000,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,1380000,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,1380000,49026,q12,d_year = 2000 and d_moy between 1 and 10
1,1380000,49971,q10,d_date = cast('2000-04-30' as date)
2,1380000,52773,q7,d_year = 2000 and d_moy between 1 and 10
2,1380000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,1380000,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,1380000,66921,q12,d_year = 2000
3,1380000,52278,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
3,1380000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
3,1380000,55663,q1,d_year = 2000 and d_moy between 1 and 3
3,1380000,60540,q12,d_year = 2000 and d_moy between 1 and 11
0,1620000,61033,q10,d_year = 2000 and d_moy = 1
0,1620000,58833,q13,d_year = 2000 and d_moy between 1 and 7
0,1620000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,1620000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,1620000,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,1620000,53254,q13,d_year = 2000 and d_moy between 1 and 6
1,1620000,49026,q12,d_year = 2000 and d_moy between 1 and 10
1,1620000,60540,q12,d_year = 2000 and d_moy between 1 and 11
2,1620000,58833,q13,d_year = 2000 and d_moy between 1 and 7
2,1620000,53254,q13,d_year = 2000 and d_moy between 1 and 6
2,1620000,61033,q10,d_year = 2000 and d_moy = 1
2,1620000,55663,q1,d_year = 2000 and d_moy between 1 and 3
3,1620000,49971,q10,d_date = cast('2000-04-30' as date)
3,1620000,58833,q13,d_year = 2000 and d_moy between 1 and 7
3,1620000,66921,q12,d_year = 2000
3,1620000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,1860000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,1860000,61033,q10,d_year = 2000 and d_moy = 1
0,1860000,49971,q10,d_date = cast('2000-04-30' as date)
0,1860000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,1860000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,1860000,58833,q13,d_year = 2000 and d_moy between 1 and 7
1,1860000,66921,q12,d_year = 2000
1,1860000,49971,q10,d_date = cast('2000-04-30' as date)
2,1860000,52278,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,1860000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,1860000,55663,q1,d_year = 2000 and d_moy between 1 and 3
2,1860000,60540,q12,d_year = 2000 and d_moy between 1 and 11
3,1860000,60540,q12,d_year = 2000 and d_moy between 1 and 11
3,1860000,65338,q7,d_year = 2000 and d_moy between 1 and 11
3,1860000,66921,q12,d_year = 2000
3,1860000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,2100000,66921,q12,d_year = 2000
0,2100000,49026,q12,d_year = 2000 and d_moy between 1 and 10
0,2100000,53254,q13,d_year = 2000 and d_moy between 1 and 6
0,2100000,65338,q7,d_year = 2000 and d_moy between 1 and 11
1,2100000,52773,q7,d_year = 2000 and d_moy between 1 and 10
1,2100000,50547,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
