app,start,duration,query,range
0,10000,23382,q13,d_year = 2000 and d_moy between 1 and 5
0,10000,27886,q12,d_year = 2000 and d_moy between 1 and 7
0,10000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,10000,22237,q1,d_year = 2000 and d_moy between 1 and 2
0,10000,22237,q1,d_year = 2000 and d_moy between 1 and 2
1,40000,30516,q10,d_year = 2000 and d_moy = 1
1,40000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,40000,26386,q7,d_year = 2000 and d_moy between 1 and 10
1,40000,22237,q1,d_year = 2000 and d_moy between 1 and 2
1,40000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,70000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,70000,22107,q12,d_year = 2000 and d_moy between 1 and 5
2,70000,27886,q12,d_year = 2000 and d_moy between 1 and 7
2,70000,23382,q13,d_year = 2000 and d_moy between 1 and 5
2,70000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,100000,30516,q10,d_year = 2000 and d_moy = 1
0,100000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,100000,26386,q7,d_year = 2000 and d_moy between 1 and 10
0,100000,22237,q1,d_year = 2000 and d_moy between 1 and 2
0,100000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,130000,24985,q10,d_date = cast('2000-04-30' as date)
1,130000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,130000,22237,q1,d_year = 2000 and d_moy between 1 and 2
1,130000,25691,q12,d_year = 2000 and d_moy between 1 and 6
1,130000,27831,q1,d_year = 2000 and d_moy between 1 and 3
2,160000,30516,q10,d_year = 2000 and d_moy = 1
2,160000,22107,q12,d_year = 2000 and d_moy between 1 and 5
2,160000,22237,q1,d_year = 2000 and d_moy between 1 and 2
2,160000,27831,q1,d_year = 2000 and d_moy between 1 and 3
2,160000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,190000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,190000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,190000,27886,q12,d_year = 2000 and d_moy between 1 and 7
0,190000,23382,q13,d_year = 2000 and d_moy between 1 and 5
0,190000,22107,q12,d_year = 2000 and d_moy between 1 and 5
1,220000,30516,q10,d_year = 2000 and d_moy = 1
1,220000,22107,q12,d_year = 2000 and d_moy between 1 and 5
1,220000,22237,q1,d_year = 2000 and d_moy between 1 and 2
1,220000,27831,q1,d_year = 2000 and d_moy between 1 and 3
1,220000,22107,q12,d_year = 2000 and d_moy between 1 and 5
2,250000,30516,q10,d_year = 2000 and d_moy = 1
2,250000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,250000,26386,q7,d_year = 2000 and d_moy between 1 and 10
2,250000,23387,q7,d_year = 2000 and d_moy between 1 and 9
2,250000,24985,q10,d_date = cast('2000-04-30' as date)
0,280000,24985,q10,d_date = cast('2000-04-30' as date)
0,280000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,280000,22237,q1,d_year = 2000 and d_moy between 1 and 2
0,280000,25691,q12,d_year = 2000 and d_moy between 1 and 6
0,280000,27831,q1,d_year = 2000 and d_moy between 1 and 3
1,310000,27831,q1,d_year = 2000 and d_moy between 1 and 3
1,310000,23382,q13,d_year = 2000 and d_moy between 1 and 5
1,310000,30516,q10,d_year = 2000 and d_moy = 1
1,310000,22107,q12,d_year = 2000 and d_moy between 1 and 5
1,310000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,340000,25691,q12,d_year = 2000 and d_moy between 1 and 6
2,340000,29416,q13,d_year = 2000 and d_moy between 1 and 7
2,340000,30516,q10,d_year = 2000 and d_moy = 1
2,340000,22107,q12,d_year = 2000 and d_moy between 1 and 5
2,340000,26386,q7,d_year = 2000 and d_moy between 1 and 10
0,370000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,370000,26627,q13,d_year = 2000 and d_moy between 1 and 6
0,370000,23387,q7,d_year = 2000 and d_moy between 1 and 9
0,370000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,370000,25691,q12,d_year = 2000 and d_moy between 1 and 6
1,400000,30516,q10,d_year = 2000 and d_moy = 1
1,400000,30516,q10,d_year = 2000 and d_moy = 1
1,400000,23387,q7,d_year = 2000 and d_moy between 1 and 9
1,400000,23387,q7,d_year = 2000 and d_moy between 1 and 9
1,400000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,430000,23382,q13,d_year = 2000 and d_moy between 1 and 5
2,430000,26386,q7,d_year = 2000 and d_moy between 1 and 10
2,430000,25691,q12,d_year = 2000 and d_moy between 1 and 6
2,430000,27831,q1,d_year = 2000 and d_moy between 1 and 3
2,430000,26386,q7,d_year = 2000 and d_moy between 1 and 10
0,460000,30516,q10,d_year = 2000 and d_moy = 1
0,460000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,460000,22237,q1,d_year = 2000 and d_moy between 1 and 2
0,460000,27831,q1,d_year = 2000 and d_moy between 1 and 3
0,460000,22107,q12,d_year = 2000 and d_moy between 1 and 5
1,490000,25691,q12,d_year = 2000 and d_moy between 1 and 6
1,490000,29416,q13,d_year = 2000 and d_moy between 1 and 7
1,490000,30516,q10,d_year = 2000 and d_moy = 1
1,490000,22107,q12,d_year = 2000 and d_moy between 1 and 5
1,490000,26386,q7,d_year = 2000 and d_moy between 1 and 10
2,520000,27831,q1,d_year = 2000 and d_moy between 1 and 3
2,520000,29416,q13,d_year = 2000 and d_moy between 1 and 7
2,520000,30516,q10,d_year = 2000 and d_moy = 1
2,520000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,520000,26386,q7,d_year = 2000 and d_moy between 1 and 10
0,550000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,550000,27886,q12,d_year = 2000 and d_moy between 1 and 7
0,550000,27886,q12,d_year = 2000 and d_moy between 1 and 7
0,550000,27886,q12,d_year = 2000 and d_moy between 1 and 7
0,550000,22237,q1,d_year = 2000 and d_moy between 1 and 2
1,580000,27831,q1,d_year = 2000 and d_moy between 1 and 3
1,580000,26627,q13,d_year = 2000 and d_moy between 1 and 6
1,580000,26627,q13,d_year = 2000 and d_moy between 1 and 6
1,580000,23382,q13,d_year = 2000 and d_moy between 1 and 5
1,580000,22107,q12,d_year = 2000 and d_moy between 1 and 5
2,610000,22237,q1,d_year = 2000 and d_moy between 1 and 2
2,610000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,610000,26386,q7,d_year = 2000 and d_moy between 1 and 10
2,610000,24985,q10,d_date = cast('2000-04-30' as date)
2,610000,22237,q1,d_year = 2000 and d_moy between 1 and 2
0,640000,27831,q1,d_year = 2000 and d_moy between 1 and 3
0,640000,23382,q13,d_year = 2000 and d_moy between 1 and 5
0,640000,30516,q10,d_year = 2000 and d_moy = 1
0,640000,22107,q12,d_year = 2000 and d_moy between 1 and 5
0,640000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,670000,30516,q10,d_year = 2000 and d_moy = 1
1,670000,24985,q10,d_date = cast('2000-04-30' as date)
1,670000,27886,q12,d_year = 2000 and d_moy between 1 and 7
1,670000,27831,q1,d_year = 2000 and d_moy between 1 and 3
1,670000,26627,q13,d_year = 2000 and d_moy between 1 and 6
2,700000,25273,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,700000,26139,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,700000,27831,q1,d_year = 2000 and d_moy between 1 and 3
2,700000,23387,q7,d_year = 2000 and d_moy between 1 and 9
2,700000,29416,q13,d_year = 2000 and d_moy between 1 and 7
