app,start,duration,query,range
0,10000,29476,q12,d_year = 2000 and d_moy between 1 and 5
0,10000,31182,q7,d_year = 2000 and d_moy between 1 and 9
0,10000,31176,q13,d_year = 2000 and d_moy between 1 and 5
0,10000,22859,q7,d_year = 2000 and d_moy between 1 and 7
0,10000,31182,q7,d_year = 2000 and d_moy between 1 and 9
1,40000,31176,q13,d_year = 2000 and d_moy between 1 and 5
1,40000,31176,q13,d_year = 2000 and d_moy between 1 and 5
1,40000,25085,q13,d_year = 2000 and d_moy between 1 and 3
1,40000,31182,q7,d_year = 2000 and d_moy between 1 and 9
1,40000,22662,q12,d_year = 2000 and d_moy between 1 and 2
2,70000,27636,q7,d_year = 2000 and d_moy between 1 and 8
2,70000,31176,q13,d_year = 2000 and d_moy between 1 and 5
2,70000,22859,q7,d_year = 2000 and d_moy between 1 and 7
2,70000,23988,q12,d_year = 2000 and d_moy between 1 and 3
2,70000,31176,q13,d_year = 2000 and d_moy between 1 and 5
3,100000,27636,q7,d_year = 2000 and d_moy between 1 and 8
3,100000,27338,q13,d_year = 2000 and d_moy between 1 and 4
3,100000,29476,q12,d_year = 2000 and d_moy between 1 and 5
3,100000,29649,q1,d_year = 2000 and d_moy between 1 and 2
3,100000,31176,q13,d_year = 2000 and d_moy between 1 and 5
0,130000,31176,q13,d_year = 2000 and d_moy between 1 and 5
0,130000,31176,q13,d_year = 2000 and d_moy between 1 and 5
0,130000,25085,q13,d_year = 2000 and d_moy between 1 and 3
0,130000,31182,q7,d_year = 2000 and d_moy between 1 and 9
0,130000,22662,q12,d_year = 2000 and d_moy between 1 and 2
1,160000,27636,q7,d_year = 2000 and d_moy between 1 and 8
1,160000,27338,q13,d_year = 2000 and d_moy between 1 and 4
1,160000,29476,q12,d_year = 2000 and d_moy between 1 and 5
1,160000,29649,q1,d_year = 2000 and d_moy between 1 and 2
1,160000,31176,q13,d_year = 2000 and d_moy between 1 and 5
2,190000,27636,q7,d_year = 2000 and d_moy between 1 and 8
2,190000,22859,q7,d_year = 2000 and d_moy between 1 and 7
2,190000,23988,q12,d_year = 2000 and d_moy between 1 and 3
2,190000,29197,q12,d_year = 2000 and d_moy between 1 and 4
2,190000,27636,q7,d_year = 2000 and d_moy between 1 and 8
3,220000,23988,q12,d_year = 2000 and d_moy between 1 and 3
3,220000,29197,q12,d_year = 2000 and d_moy between 1 and 4
3,220000,29649,q1,d_year = 2000 and d_moy between 1 and 2
3,220000,22859,q7,d_year = 2000 and d_moy between 1 and 7
3,220000,29476,q12,d_year = 2000 and d_moy between 1 and 5
0,250000,27636,q7,d_year = 2000 and d_moy between 1 and 8
0,250000,31176,q13,d_year = 2000 and d_moy between 1 and 5
0,250000,22859,q7,d_year = 2000 and d_moy between 1 and 7
0,250000,23988,q12,d_year = 2000 and d_moy between 1 and 3
0,250000,31176,q13,d_year = 2000 and d_moy between 1 and 5
1,280000,27636,q7,d_year = 2000 and d_moy between 1 and 8
1,280000,22859,q7,d_year = 2000 and d_moy between 1 and 7
1,280000,23988,q12,d_year = 2000 and d_moy between 1 and 3
1,280000,29197,q12,d_year = 2000 and d_moy between 1 and 4
1,280000,27636,q7,d_year = 2000 and d_moy between 1 and 8
2,310000,29476,q12,d_year = 2000 and d_moy between 1 and 5
2,310000,25085,q13,d_year = 2000 and d_moy between 1 and 3
2,310000,31176,q13,d_year = 2000 and d_moy between 1 and 5
2,310000,31182,q7,d_year = 2000 and d_moy between 1 and 9
2,310000,25085,q13,d_year = 2000 and d_moy between 1 and 3
3,340000,31182,q7,d_year = 2000 and d_moy between 1 and 9
3,340000,31182,q7,d_year = 2000 and d_moy between 1 and 9
3,340000,25085,q13,d_year = 2000 and d_moy between 1 and 3
3,340000,29649,q1,d_year = 2000 and d_moy between 1 and 2
3,340000,22662,q12,d_year = 2000 and d_moy between 1 and 2
0,370000,27636,q7,d_year = 2000 and d_moy between 1 and 8
0,370000,27338,q13,d_year = 2000 and d_moy between 1 and 4
0,370000,29476,q12,d_year = 2000 and d_moy between 1 and 5
0,370000,29649,q1,d_year = 2000 and d_moy between 1 and 2
0,370000,31176,q13,d_year = 2000 and d_moy between 1 and 5
1,400000,23988,q12,d_year = 2000 and d_moy between 1 and 3
1,400000,29197,q12,d_year = 2000 and d_moy between 1 and 4
1,400000,29649,q1,d_year = 2000 and d_moy between 1 and 2
1,400000,22859,q7,d_year = 2000 and d_moy between 1 and 7
