app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,61344,q12,d_year = 2000
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
0,180000,55947,q10,d_year = 2000 and d_moy = 1
0,180000,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,180000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,180000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,180000,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,180000,55947,q10,d_year = 2000 and d_moy = 1
0,180000,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,180000,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,180000,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,240000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,240000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,240000,61344,q12,d_year = 2000
1,240000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,240000,45807,q10,d_date = cast('2000-04-30' as date)
1,240000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,240000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,240000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,240000,45807,q10,d_date = cast('2000-04-30' as date)
2,300000,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,300000,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,300000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,300000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,300000,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,300000,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,300000,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,300000,55947,q10,d_year = 2000 and d_moy = 1
2,300000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,360000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,360000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,360000,61344,q12,d_year = 2000
0,360000,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,360000,45807,q10,d_date = cast('2000-04-30' as date)
0,360000,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,360000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,360000,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,360000,45807,q10,d_date = cast('2000-04-30' as date)
1,420000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,420000,55495,q12,d_year = 2000 and d_moy between 1 and 11
