app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,45807,q10,d_date = cast('2000-04-30' as date)
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,168000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,171738,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,173680,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,177546,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,179768,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,182679,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,185267,45807,q10,d_date = cast('2000-04-30' as date)
0,187331,61344,q12,d_year = 2000
1,190325,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,193988,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,196545,55947,q10,d_year = 2000 and d_moy = 1
0,199847,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,202998,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,205796,55947,q10,d_year = 2000 and d_moy = 1
1,208894,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,211498,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,213922,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,217344,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,221389,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,222803,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,227610,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,230318,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,234863,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,235461,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,240328,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,240628,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,245427,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,247838,45807,q10,d_date = cast('2000-04-30' as date)
1,249892,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,253156,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,257109,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,257949,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,262894,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,263902,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,269750,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,270917,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,274991,61344,q12,d_year = 2000
0,276875,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,281979,59893,q7,d_year = 2000 and d_moy between 1 and 11
