app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,61344,q12,d_year = 2000
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,0,48375,q7,d_year = 2000 and d_moy between 1 and 10
3,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
3,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,168750,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,172500,55495,q12,d_year = 2000 and d_moy between 1 and 11
3,176250,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,180812,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,184250,45807,q10,d_date = cast('2000-04-30' as date)
2,187905,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,188920,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,195334,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,196941,55947,q10,d_year = 2000 and d_moy = 1
2,203383,55947,q10,d_year = 2000 and d_moy = 1
3,203874,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,208009,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,211802,48375,q7,d_year = 2000 and d_moy between 1 and 10
3,217460,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,218194,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,220871,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,225079,45807,q10,d_date = cast('2000-04-30' as date)
3,230843,45807,q10,d_date = cast('2000-04-30' as date)
2,232198,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,234237,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,238399,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,243693,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,247532,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,250271,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,253882,48816,q13,d_year = 2000 and d_moy between 1 and 6
3,257291,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,261337,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,267062,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,267961,48375,q7,d_year = 2000 and d_moy between 1 and 10
3,271360,61344,q12,d_year = 2000
2,276297,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,280122,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,280681,55947,q10,d_year = 2000 and d_moy = 1
3,287768,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,289511,61344,q12,d_year = 2000
0,293530,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,296917,45807,q10,d_date = cast('2000-04-30' as date)
3,302770,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,306823,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,307151,61344,q12,d_year = 2000
1,309885,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
3,316031,55947,q10,d_year = 2000 and d_moy = 1
1,321885,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,323481,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,324553,48375,q7,d_year = 2000 and d_moy between 1 and 10
3,331825,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,337835,53930,q13,d_year = 2000 and d_moy between 1 and 7
