app,start,duration,query,range
0,10000,20802,q13,d_year = 2000 and d_moy between 1 and 9
0,16377,18431,q12,d_year = 2000 and d_moy between 1 and 9
1,20000,20025,q1,d_year = 2000 and d_moy between 1 and 6
0,22409,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,26640,20309,q10,d_year = 2000 and d_moy between 1 and 2
0,27091,20309,q10,d_year = 2000 and d_moy between 1 and 2
2,30000,18637,q7,d_year = 2000
0,31127,20309,q10,d_year = 2000 and d_moy between 1 and 2
1,31776,18637,q7,d_year = 2000
0,36172,22906,q1,d_year = 2000 and d_moy between 1 and 8
2,36415,20802,q13,d_year = 2000 and d_moy between 1 and 9
1,37499,20802,q13,d_year = 2000 and d_moy between 1 and 9
1,40605,21249,q12,d_year = 2000 and d_moy between 1 and 10
0,40792,20309,q10,d_year = 2000 and d_moy between 1 and 2
2,41002,22906,q1,d_year = 2000 and d_moy between 1 and 8
2,44327,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,46145,21553,q1,d_year = 2000 and d_moy between 1 and 7
0,46927,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,48426,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,51140,22906,q1,d_year = 2000 and d_moy between 1 and 8
1,51571,18637,q7,d_year = 2000
2,53238,20309,q10,d_year = 2000 and d_moy between 1 and 2
0,56047,18431,q12,d_year = 2000 and d_moy between 1 and 9
1,56875,22906,q1,d_year = 2000 and d_moy between 1 and 8
2,59408,18431,q12,d_year = 2000 and d_moy between 1 and 9
0,61380,18431,q12,d_year = 2000 and d_moy between 1 and 9
1,61440,18144,q1,d_year = 2000 and d_moy between 1 and 5
2,65853,18144,q1,d_year = 2000 and d_moy between 1 and 5
1,65920,18144,q1,d_year = 2000 and d_moy between 1 and 5
0,68013,18431,q12,d_year = 2000 and d_moy between 1 and 9
2,69387,20309,q10,d_year = 2000 and d_moy between 1 and 2
1,72842,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,73031,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,74470,18431,q12,d_year = 2000 and d_moy between 1 and 9
1,75988,18431,q12,d_year = 2000 and d_moy between 1 and 9
0,77159,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,79074,18144,q1,d_year = 2000 and d_moy between 1 and 5
2,80073,20025,q1,d_year = 2000 and d_moy between 1 and 6
0,83182,18637,q7,d_year = 2000
2,84461,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,85918,21553,q1,d_year = 2000 and d_moy between 1 and 7
0,88655,18637,q7,d_year = 2000
1,89658,20802,q13,d_year = 2000 and d_moy between 1 and 9
2,90949,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,92657,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,93154,20309,q10,d_year = 2000 and d_moy between 1 and 2
2,95063,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,96996,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,98137,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,99296,20802,q13,d_year = 2000 and d_moy between 1 and 9
2,101300,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,103199,21553,q1,d_year = 2000 and d_moy between 1 and 7
0,106228,18637,q7,d_year = 2000
2,107024,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,109947,18431,q12,d_year = 2000 and d_moy between 1 and 9
2,112257,21249,q12,d_year = 2000 and d_moy between 1 and 10
0,112468,18431,q12,d_year = 2000 and d_moy between 1 and 9
1,113038,21249,q12,d_year = 2000 and d_moy between 1 and 10
1,117741,20802,q13,d_year = 2000 and d_moy between 1 and 9
2,119043,20802,q13,d_year = 2000 and d_moy between 1 and 9
0,119077,21249,q12,d_year = 2000 and d_moy between 1 and 10
1,121147,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,123318,20309,q10,d_year = 2000 and d_moy between 1 and 2
1,125186,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,125797,20802,q13,d_year = 2000 and d_moy between 1 and 9
1,129070,20309,q10,d_year = 2000 and d_moy between 1 and 2
0,129237,20309,q10,d_year = 2000 and d_moy between 1 and 2
2,132436,18637,q7,d_year = 2000
1,134657,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,135604,18122,q13,d_year = 2000 and d_moy between 1 and 8
0,135832,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,139058,22906,q1,d_year = 2000 and d_moy between 1 and 8
0,141568,21249,q12,d_year = 2000 and d_moy between 1 and 10
2,141601,18144,q1,d_year = 2000 and d_moy between 1 and 5
1,142780,18144,q1,d_year = 2000 and d_moy between 1 and 5
0,146457,18637,q7,d_year = 2000
