app,start,duration,query,range
0,10000,24166,q1,d_year = 2000 and d_moy between 1 and 9
1,15000,18637,q7,d_year = 2000
2,20000,15258,q10,d_year = 2000 and d_moy = 1
3,25000,16906,q1,d_year = 2000 and d_moy between 1 and 4
0,30560,16906,q1,d_year = 2000 and d_moy between 1 and 4
1,33344,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,36177,20802,q13,d_year = 2000 and d_moy between 1 and 9
3,37571,16906,q1,d_year = 2000 and d_moy between 1 and 4
3,50408,15135,q12,d_year = 2000 and d_moy between 1 and 11
0,51038,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,53409,16730,q12,d_year = 2000
2,53691,20229,q12,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6)
0,62604,16730,q12,d_year = 2000
3,68323,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,70571,15258,q10,d_year = 2000 and d_moy = 1
1,72038,23105,q13,d_year = 2000 and d_moy between 1 and 10
0,74452,15135,q12,d_year = 2000 and d_moy between 1 and 11
3,83179,15258,q10,d_year = 2000 and d_moy = 1
2,84689,15258,q10,d_year = 2000 and d_moy = 1
1,90936,20229,q12,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6)
0,93807,18122,q13,d_year = 2000 and d_moy between 1 and 8
3,94610,16906,q1,d_year = 2000 and d_moy between 1 and 4
2,97767,20802,q13,d_year = 2000 and d_moy between 1 and 9
1,105474,16730,q12,d_year = 2000
0,112167,18144,q1,d_year = 2000 and d_moy between 1 and 5
2,113886,15258,q10,d_year = 2000 and d_moy = 1
3,115510,20025,q1,d_year = 2000 and d_moy between 1 and 6
1,126283,15135,q12,d_year = 2000 and d_moy between 1 and 11
3,128025,20229,q12,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6)
0,129864,22906,q1,d_year = 2000 and d_moy between 1 and 8
2,134228,20309,q10,d_year = 2000 and d_moy between 1 and 2
3,139387,16334,q7,d_year = 2000 and d_moy between 1 and 11
0,143946,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,146902,21553,q1,d_year = 2000 and d_moy between 1 and 7
2,151460,18637,q7,d_year = 2000
3,153829,16906,q1,d_year = 2000 and d_moy between 1 and 4
1,159514,15135,q12,d_year = 2000 and d_moy between 1 and 11
0,161005,18122,q13,d_year = 2000 and d_moy between 1 and 8
2,163214,20025,q1,d_year = 2000 and d_moy between 1 and 6
3,170982,15135,q12,d_year = 2000 and d_moy between 1 and 11
1,178054,16906,q1,d_year = 2000 and d_moy between 1 and 4
0,178073,16730,q12,d_year = 2000
2,182418,20025,q1,d_year = 2000 and d_moy between 1 and 6
3,189406,20229,q12,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6)
0,194885,18637,q7,d_year = 2000
1,196206,18144,q1,d_year = 2000 and d_moy between 1 and 5
2,200678,20309,q10,d_year = 2000 and d_moy between 1 and 2
3,201537,21553,q1,d_year = 2000 and d_moy between 1 and 7
0,207469,21553,q1,d_year = 2000 and d_moy between 1 and 7
1,211820,16334,q7,d_year = 2000 and d_moy between 1 and 11
3,215909,20309,q10,d_year = 2000 and d_moy between 1 and 2
2,220754,15135,q12,d_year = 2000 and d_moy between 1 and 11
0,222776,15135,q12,d_year = 2000 and d_moy between 1 and 11
3,227218,18122,q13,d_year = 2000 and d_moy between 1 and 8
1,228123,24166,q1,d_year = 2000 and d_moy between 1 and 9
2,233668,23105,q13,d_year = 2000 and d_moy between 1 and 10
0,237711,20229,q12,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6)
3,242704,24166,q1,d_year = 2000 and d_moy between 1 and 9
1,244024,24166,q1,d_year = 2000 and d_moy between 1 and 9
2,252116,18637,q7,d_year = 2000
