app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,45807,q10,d_date = cast('2000-04-30' as date)
0,0,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,61344,q12,d_year = 2000
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,61344,q12,d_year = 2000
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
2,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,55947,q10,d_year = 2000 and d_moy = 1
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,166666,45807,q10,d_date = cast('2000-04-30' as date)
2,168333,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,170730,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,175656,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,180166,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,184340,45807,q10,d_date = cast('2000-04-30' as date)
0,184352,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,185124,61344,q12,d_year = 2000
0,189783,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,195000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,199846,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,200354,61344,q12,d_year = 2000
0,203937,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,206328,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,208932,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,213546,61344,q12,d_year = 2000
0,219891,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,221919,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,224349,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,224989,45807,q10,d_date = cast('2000-04-30' as date)
0,228397,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,234491,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,240136,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,241897,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,243331,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,245219,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,250950,59893,q7,d_year = 2000 and d_moy between 1 and 11
