app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,45807,q10,d_date = cast('2000-04-30' as date)
0,0,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,61344,q12,d_year = 2000
0,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,61344,q12,d_year = 2000
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,45807,q10,d_date = cast('2000-04-30' as date)
1,0,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,0,55947,q10,d_year = 2000 and d_moy = 1
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,167000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,169721,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,174166,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,177495,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,178040,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,181293,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,185051,45807,q10,d_date = cast('2000-04-30' as date)
0,188248,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,189279,61344,q12,d_year = 2000
0,192744,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,196677,61344,q12,d_year = 2000
0,201053,61344,q12,d_year = 2000
1,201699,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,205643,55947,q10,d_year = 2000 and d_moy = 1
0,210522,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,213766,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,214460,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,218350,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,222895,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,227598,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,227614,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,231027,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,235375,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,240075,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,240984,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,245162,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,249895,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,252550,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,253444,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,257432,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,261652,48816,q13,d_year = 2000 and d_moy between 1 and 6
