app,start,duration,query,range
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,68337,q7,d_year = 2000
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,68337,q7,d_year = 2000
2,0,68337,q7,d_year = 2000
2,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,66528,q1,d_year = 2000 and d_moy between 1 and 5
3,0,68337,q7,d_year = 2000
3,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,0,55947,q10,d_year = 2000 and d_moy = 1
3,0,68337,q7,d_year = 2000
0,180000,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,193445,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,195000,61344,q12,d_year = 2000
0,207834,66448,q13,d_year = 2000 and d_moy between 1 and 8
1,209854,68337,q7,d_year = 2000
2,210000,55947,q10,d_year = 2000 and d_moy = 1
0,224288,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,224582,66528,q1,d_year = 2000 and d_moy between 1 and 5
3,225000,66528,q1,d_year = 2000 and d_moy between 1 and 5
1,226254,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,239304,66448,q13,d_year = 2000 and d_moy between 1 and 8
1,239792,68337,q7,d_year = 2000
2,241529,55947,q10,d_year = 2000 and d_moy = 1
3,242600,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,254516,55495,q12,d_year = 2000 and d_moy between 1 and 11
3,254598,68337,q7,d_year = 2000
0,255938,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,256851,68337,q7,d_year = 2000
2,267754,55947,q10,d_year = 2000 and d_moy = 1
0,270722,61344,q12,d_year = 2000
3,272449,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,274058,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,281754,68337,q7,d_year = 2000
3,285013,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,286625,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,288051,68337,q7,d_year = 2000
2,298347,51025,q1,d_year = 2000 and d_moy between 1 and 3
3,298400,68337,q7,d_year = 2000
0,301730,68337,q7,d_year = 2000
1,305903,66528,q1,d_year = 2000 and d_moy between 1 and 5
2,310235,55495,q12,d_year = 2000 and d_moy between 1 and 11
3,315537,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,318767,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,322525,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,324829,55495,q12,d_year = 2000 and d_moy between 1 and 11
3,329574,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,332808,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,337647,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,339588,68337,q7,d_year = 2000
3,343240,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,347498,55947,q10,d_year = 2000 and d_moy = 1
1,350337,61344,q12,d_year = 2000
3,355201,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,356278,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,361494,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,366291,61992,q1,d_year = 2000 and d_moy between 1 and 4
3,370204,61344,q12,d_year = 2000
2,371593,61344,q12,d_year = 2000
0,374932,55947,q10,d_year = 2000 and d_moy = 1
1,382539,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,385107,66448,q13,d_year = 2000 and d_moy between 1 and 8
2,387549,55947,q10,d_year = 2000 and d_moy = 1
0,389430,55947,q10,d_year = 2000 and d_moy = 1
1,398137,66528,q1,d_year = 2000 and d_moy between 1 and 5
2,400660,66448,q13,d_year = 2000 and d_moy between 1 and 8
3,402229,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,403654,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,414146,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,416638,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,417554,55947,q10,d_year = 2000 and d_moy = 1
3,418020,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,428627,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,430213,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,430796,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,431694,68337,q7,d_year = 2000
1,442767,61344,q12,d_year = 2000
0,443935,61344,q12,d_year = 2000
2,445343,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,447849,66528,q1,d_year = 2000 and d_moy between 1 and 5
1,457270,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,459486,68337,q7,d_year = 2000
0,459892,68337,q7,d_year = 2000
3,465066,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,470478,61344,q12,d_year = 2000
2,475681,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,477780,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,478160,68337,q7,d_year = 2000
1,486787,66528,q1,d_year = 2000 and d_moy between 1 and 5
2,489726,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,492374,68337,q7,d_year = 2000
3,494924,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,502318,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,503223,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,509918,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,509957,61344,q12,d_year = 2000
2,517275,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,518553,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,524792,55947,q10,d_year = 2000 and d_moy = 1
0,525689,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,532975,66448,q13,d_year = 2000 and d_moy between 1 and 8
1,533159,66448,q13,d_year = 2000 and d_moy between 1 and 8
3,539618,68337,q7,d_year = 2000
0,541030,66448,q13,d_year = 2000 and d_moy between 1 and 8
1,549198,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,550022,55495,q12,d_year = 2000 and d_moy between 1 and 11
3,556030,66528,q1,d_year = 2000 and d_moy between 1 and 5
0,557587,61344,q12,d_year = 2000
2,564243,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,565131,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,572124,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,572492,55947,q10,d_year = 2000 and d_moy = 1
2,576302,61344,q12,d_year = 2000
1,576892,66448,q13,d_year = 2000 and d_moy between 1 and 8
0,585475,61344,q12,d_year = 2000
3,586058,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,592611,66528,q1,d_year = 2000 and d_moy between 1 and 5
1,594150,51025,q1,d_year = 2000 and d_moy between 1 and 3
3,599971,55947,q10,d_year = 2000 and d_moy = 1
0,601033,66528,q1,d_year = 2000 and d_moy between 1 and 5
1,606963,61344,q12,d_year = 2000
2,609066,61344,q12,d_year = 2000
3,614106,61344,q12,d_year = 2000
0,618491,66448,q13,d_year = 2000 and d_moy between 1 and 8
1,621494,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,624625,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,629696,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,636037,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,636230,59893,q7,d_year = 2000 and d_moy between 1 and 11
