app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,61344,q12,d_year = 2000
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,45807,q10,d_date = cast('2000-04-30' as date)
3,0,48375,q7,d_year = 2000 and d_moy between 1 and 10
3,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
3,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
3,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
3,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
3,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
3,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
3,0,55947,q10,d_year = 2000 and d_moy = 1
3,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,166666,45807,q10,d_date = cast('2000-04-30' as date)
2,168333,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
3,170000,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,172410,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,178806,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,179324,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,184872,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,185105,61344,q12,d_year = 2000
0,191601,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,192810,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,198345,59893,q7,d_year = 2000 and d_moy between 1 and 11
3,199306,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,205365,55947,q10,d_year = 2000 and d_moy = 1
1,207030,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,207939,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,212705,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,218242,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,219733,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,224917,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,226466,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,231063,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
3,231448,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,233123,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,237760,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,244317,61992,q1,d_year = 2000 and d_moy between 1 and 4
