app,start,duration,query,range
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,0,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,0,55947,q10,d_year = 2000 and d_moy = 1
0,0,45807,q10,d_date = cast('2000-04-30' as date)
0,0,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,0,61344,q12,d_year = 2000
0,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,61344,q12,d_year = 2000
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,45807,q10,d_date = cast('2000-04-30' as date)
1,0,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,165000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,167142,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,170009,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,174306,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,176223,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,178468,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,181987,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,184254,45807,q10,d_date = cast('2000-04-30' as date)
0,186012,45807,q10,d_date = cast('2000-04-30' as date)
0,189451,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,192820,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,194654,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,198262,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,202596,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,202850,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,207652,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
0,212135,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,212445,61344,q12,d_year = 2000
0,215957,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,219365,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,223689,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,224055,55947,q10,d_year = 2000 and d_moy = 1
0,227593,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,231303,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,234194,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,235903,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,240870,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,244294,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,246276,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,250893,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,254336,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,255148,59893,q7,d_year = 2000 and d_moy between 1 and 11
