app,start,duration,query,range
0,0,104826,q12,d_year = 2000 or d_year = 2001
0,0,93644,q1,d_year = 2000 and d_moy between 1 and 10
0,0,88609,q1,d_year = 2000 and d_moy between 1 and 9
0,0,88609,q1,d_year = 2000 and d_moy between 1 and 9
0,0,101313,q13,d_year = 2000 and d_moy between 1 and 11
0,0,88609,q1,d_year = 2000 and d_moy between 1 and 9
0,0,104826,q12,d_year = 2000 or d_year = 2001
0,0,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,0,95210,q10,d_year = 2000 and d_moy between 1 and 3
0,0,101313,q13,d_year = 2000 and d_moy between 1 and 11
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,55947,q10,d_year = 2000 and d_moy = 1
1,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,0,55947,q10,d_year = 2000 and d_moy = 1
2,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,0,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,0,55947,q10,d_year = 2000 and d_moy = 1
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,55947,q10,d_year = 2000 and d_moy = 1
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,0,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,0,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,270000,95210,q10,d_year = 2000 and d_moy between 1 and 3
1,270000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,270000,55947,q10,d_year = 2000 and d_moy = 1
1,270000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,270000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,270000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,270000,55947,q10,d_year = 2000 and d_moy = 1
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,55947,q10,d_year = 2000 and d_moy = 1
1,270000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,270000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,270000,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,280521,88609,q1,d_year = 2000 and d_moy between 1 and 9
0,290381,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,299780,93644,q1,d_year = 2000 and d_moy between 1 and 10
0,310145,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,319544,84720,q13,d_year = 2000 and d_moy between 1 and 10
0,329016,76274,q13,d_year = 2000 and d_moy between 1 and 9
0,337643,101313,q13,d_year = 2000 and d_moy between 1 and 11
0,348775,79030,q1,d_year = 2000 and d_moy between 1 and 7
0,357678,95210,q10,d_year = 2000 and d_moy between 1 and 3
0,368199,101313,q13,d_year = 2000 and d_moy between 1 and 11
0,379330,79030,q1,d_year = 2000 and d_moy between 1 and 7
0,388233,76274,q13,d_year = 2000 and d_moy between 1 and 9
2,390000,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,390000,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,390000,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,390000,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,390000,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,390000,55947,q10,d_year = 2000 and d_moy = 1
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,390000,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,390000,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,390000,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,390000,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,390000,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,390000,55495,q12,d_year = 2000 and d_moy between 1 and 11
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,390000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,396860,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,406259,101313,q13,d_year = 2000 and d_moy between 1 and 11
0,417391,93644,q1,d_year = 2000 and d_moy between 1 and 10
0,427755,104826,q12,d_year = 2000 or d_year = 2001
0,439238,93644,q1,d_year = 2000 and d_moy between 1 and 10
0,449602,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,459001,76274,q13,d_year = 2000 and d_moy between 1 and 9
0,467629,79030,q1,d_year = 2000 and d_moy between 1 and 7
0,476532,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,485931,104826,q12,d_year = 2000 or d_year = 2001
0,497413,95210,q10,d_year = 2000 and d_moy between 1 and 3
0,507934,101313,q13,d_year = 2000 and d_moy between 1 and 11
1,510000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,510000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,510000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,510000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,510000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,510000,55947,q10,d_year = 2000 and d_moy = 1
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,510000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,510000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,510000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,510000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,510000,59893,q7,d_year = 2000 and d_moy between 1 and 11
1,510000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,510000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,519066,101313,q13,d_year = 2000 and d_moy between 1 and 11
0,530197,83989,q1,d_year = 2000 and d_moy between 1 and 8
0,539596,76274,q13,d_year = 2000 and d_moy between 1 and 9
0,548223,88609,q1,d_year = 2000 and d_moy between 1 and 9
